shadowsocks/shadowsocks-windows
MiniProfiler/dotnet
zeromq/netmq
aspnet/Identity
fluentscheduler/FluentScheduler
chromelyapps/Chromely
Azure/azure-powershell
volkanceylan/Serenity
Antaris/RazorEngine
lunet-io/markdig
AutoFixture/AutoFixture
octokit/octokit.net
mob-sakai/UIEffect
elvirbrk/NoteHighlight2016
sshnet/SSH.NET
p-org/P
microsoft/GraphEngine
oxyplot/oxyplot
nunit/nunit
aelassas/Wexflow
CosmosOS/Cosmos
EasyNetQ/EasyNetQ
dockersamples/example-voting-app
xamarin/XamarinComponents
github/VisualStudio
xamarin/xamarin-macios
codebude/QRCoder
sebastienros/jint
SteveSanderson/Blazor
microsoft/nodejstools
smartstore/SmartStoreNET
FransBouma/Massive
lostindark/DriverStoreExplorer
jarjin/LuaFramework_UGUI
EllanJiang/GameFramework
SonyWWS/ATF
nhibernate/nhibernate-core
fluentassertions/fluentassertions
jbevain/cecil
mono/CppSharp
SharePoint/PnP
dotnet/runtime
exceptionless/Exceptionless
Tencent/behaviac
MichaCo/CacheManager
grpc/grpc-dotnet
DotNetOpenAuth/DotNetOpenAuth
CollaboratingPlatypus/PetaPoco
keenanwoodall/Deform
sjdirect/abot
neuecc/Utf8Json
gregoryyoung/m-r
github-for-unity/Unity
RolandPheasant/TailBlazer
JosefPihrt/Roslynator
Azure/azure-sdk-for-net
dotnet/try
microsoft/WinAppDriver
pardeike/Harmony
sq/JSIL
greenshot/greenshot
Particular/NServiceBus
anjoy8/Blog.Core
dotnet/extensions
mono/SkiaSharp
microsoft/aspnet-api-versioning
tangxuehua/enode
skoruba/IdentityServer4.Admin
Cysharp/MagicOnion
SpecFlowOSS/SpecFlow
EWSoftware/SHFB
opentk/opentk
cDima/Aerial
tonerdo/coverlet
icsharpcode/SharpDevelop
FluentNHibernate/fluent-nhibernate
Ryujinx/Ryujinx
git-tfs/git-tfs
linq2db/linq2db
jakubgarfield/Bonobo-Git-Server
playdeadgames/temporal
SteamRE/SteamKit
ClosedXML/ClosedXML
Codeusa/SteamCleaner
Ourpalm/ILRuntime
AppMetrics/AppMetrics
x360ce/x360ce
GitTools/GitVersion
sprache/Sprache
Fody/Costura
PomeloFoundation/Pomelo.EntityFrameworkCore.MySql
bitbeans/SimpleDnsCrypt
Cenmrev/V2RayW
nodatime/nodatime
DotNetAnalyzers/StyleCopAnalyzers
dbrizov/NaughtyAttributes
Unity-Technologies/NavMeshComponents
UnityTech/UIWidgets
statianzo/Fleck
JabbR/JabbR
XLabs/Xamarin-Forms-Labs
jshackles/idle_master
NuGetPackageExplorer/NuGetPackageExplorer
JasonStein/Notepads
zzzprojects/html-agility-pack
peachpiecompiler/peachpie
confluentinc/confluent-kafka-dotnet
fairygui/FairyGUI-unity
GavinYellow/SharpSCADA
benaadams/Ben.Demystifier
eventflow/EventFlow
liangxiegame/QFramework
Franiac/TwitchLeecher
bitwarden/mobile
NEventStore/NEventStore
RevenantX/LiteNetLib
MetacoSA/NBitcoin
crest-ocean/crest
Windows-XAML/Template10
QianMo/Unity-Design-Pattern
xamarin/mobile-samples
aws/aws-sdk-net
dotnetcore/NPOI
duke7553/files-uwp
xamarin/xamarin-android
ButchersBoy/Dragablz
PowerShell/PSReadLine
ServiceStack/ServiceStack.OrmLite
xamarin/ios-samples
rafaelfgx/Architecture
dotnet/corefxlab
zzzprojects/EntityFramework-Plus
gibbed/SteamAchievementManager
d2phap/ImageGlass
fluentribbon/Fluent.Ribbon
lidarr/Lidarr
2881099/FreeSql
i-saint/Unity5Effects
rlabrecque/Steamworks.NET
praeclarum/Ooui
filoe/cscore
btcpayserver/btcpayserver
Seneral/Node_Editor_Framework
NewEraCracker/LOIC
dotnet/spark
tmsmith/Dapper-Extensions
markrendle/Simple.Data
dotnet/wcf
chkr1011/MQTTnet
charlesw/tesseract
Azure/azure-functions-host
sqlkata/querybuilder
jimradford/superputty
Xabaril/AspNetCore.Diagnostics.HealthChecks
Perfare/Il2CppDumper
dotnet-presentations/blazor-workshop
nsubstitute/NSubstitute
NetDimension/NanUI
vietnam-devs/coolstore-microservices
sharpdx/SharpDX
koush/UniversalAdbDriver
jwt-dotnet/jwt
discord-net/Discord.Net
SlightlyMad/VolumetricLights
Monnoroch/ColorHighlighter
sidristij/dotnetbook
TouchScript/TouchScript
nickgravelyn/UnityToolbag
zzzprojects/EntityFramework.Extended
k8gege/Ladon
FreyaHolmer/ShaderForge
apache/lucenenet
Facepunch/Facepunch.Steamworks
Code52/DownmarkerWPF
Cn33liz/p0wnedShell
dlemstra/Magick.NET
shouldly/shouldly
keijiro/KinoGlitch
robinrodricks/FluentFTP
ivanpaulovich/clean-architecture-manga
natemcmaster/CommandLineUtils
rebus-org/Rebus
geffzhang/NanoFabric
TelegramBots/Telegram.Bot
micjahn/ZXing.Net
wolfgarbe/SymSpell
dotnet/command-line-api
punker76/gong-wpf-dragdrop
NuGet/NuGetGallery
HandyOrg/HandyControl
amaneureka/AtomOS
ScutGame/Scut
dotnet/infer
filipw/dotnet-script
voat/voat
cobbr/Covenant
Unity-Technologies/AssetBundles-Browser
Accelerider/Accelerider.Windows
FoundatioFx/Foundatio
RaduMC/AssetStudio
statiqdev/Statiq.Web
castleproject/Windsor
dotnet-ad/Microcharts
2881099/csredis
BrighterCommand/Brighter
tjoudeh/AngularJSAuthentication
Jessecar96/SteamDesktopAuthenticator
ivaylokenov/MyTested.AspNetCore.Mvc
mono/xwt
adamhathcock/sharpcompress
JasperFx/marten
jasontaylordev/CleanArchitecture
nicehash/NiceHashMiner
aspnet/Security
google-ar/arcore-unity-sdk
Demigiant/dotween
kwsch/PKHeX
OpenCover/opencover
keijiro/Klak
codecadwallader/codemaid
luberda-molinet/FFImageLoading
scientistproject/Scientist.net
DbUp/DbUp
Code52/carnac
stefanprodan/AspNetCoreRateLimit
hirschmann/nbfc
Fody/PropertyChanged
microsoftarchive/cqrs-journey
Unity-Technologies/VolumetricLighting
kblok/puppeteer-sharp
dockpanelsuite/dockpanelsuite
mellinoe/veldrid
ebekker/ACMESharp
Jessecar96/SteamBot
rabbitmq/rabbitmq-dotnet-client
Xeroday/Spotify-Ad-Blocker
borisdj/EFCore.BulkExtensions
clojure/clojure-clr
SonyWWS/LevelEditor
dotnet/ef6
ravibpatel/AutoUpdater.NET
stefanprodan/WebApiThrottle
SciSharp/TensorFlow.NET
microsoft/Docker.DotNet
telerik/JustDecompileEngine
t1m0thyj/WinDynamicDesktop
AdamsLair/duality
vis2k/Mirror
jamesmh/coravel
xamarin/Essentials
ServiceStack/ServiceStack.Text
pwntester/ysoserial.net
antonpup/Aurora
hallatore/Netling
wixtoolset/wix3
shuxinqin/Chloe
NLua/NLua
TheAlgorithms/C-Sharp
dafny-lang/dafny
toolgood/ToolGood.Words
castleproject/Core
aaubry/YamlDotNet
dotnet/codeformatter
aelij/RoslynPad
NewLifeX/X
Syomus/ProceduralToolkit
NeutroniumCore/Neutronium
gigya/microdot
asadsahi/AspNetCoreSpa
dotnetcore/AspectCore-Framework
thepirat000/Audit.NET
xceedsoftware/DocX
i66soft/osharp
winauth/winauth
microsoft/Trill
KSP-CKAN/CKAN
stella3d/job-system-cookbook
khellang/Scrutor
openiddict/openiddict-core
Nethereum/Nethereum
loklak/loklak_dotnet_api
dotnet/samples
ElevenPaths/FOCA
kenvix/USBCopyer
abishekaditya/DesignPatterns
jstedfast/MimeKit
VerbalExpressions/CSharpVerbalExpressions
rubberduck-vba/Rubberduck
code-cracker/code-cracker
googleprojectzero/sandbox-attacksurface-analysis-tools
grandnode/grandnode
lukencode/FluentEmail
telerik/UI-For-UWP
microsoft/AttackSurfaceAnalyzer
Tayx94/graphy
ONLYOFFICE/CommunityServer
BeardedManStudios/ForgeNetworkingRemastered
xebecnan/UniLua
Squidex/squidex
0xd4d/dnlib
sonicether/SEGI
itext/itextsharp
dotnetcore/WebApiClient
paolosalvatori/ServiceBusExplorer
Siccity/xNode
TestStack/White
da2x/EdgeDeflector
Pryaxis/TShock
lachesis/scallion
Azure/iotedge
sailro/Reflexil
robertcupisz/LightShafts
jamesmontemagno/Xamarin.Plugins
SkyAPM/SkyAPM-dotnet
fholm/unityassets
madskristensen/WebEssentials2013
blowdart/AspNetAuthorizationWorkshop
samhocevar/wincompose
Tyrrrz/YoutubeExplode
TylerBrinkley/Enums.NET
snoopwpf/snoopwpf
antonpantev/unity-movement-ai
Invoke-IR/PowerForensics
prime31/Nez
bricelam/ImageResizer
opendns/dnscrypt-win-client
jaredhaight/PSAttack
ChilliCream/hotchocolate
944095635/DMSkin
atemerev/skynet
Unity-Technologies/ShaderGraph
loic-sharma/BaGet
FNA-XNA/FNA
stripe/stripe-dotnet
AdaptiveConsulting/ReactiveTrader
BornToBeRoot/NETworkManager
FakeItEasy/FakeItEasy
Baseflow/LottieXamarin
XINCGer/Unity3DTraining
Knagis/CommonMark.NET
gothinkster/aspnetcore-realworld-example-app
microsoft/Mobius
FastReports/FastReport
AsynkronIT/protoactor-dotnet
Elringus/SpriteGlow
AnyListen/YaVipCore
cairoshell/cairoshell
qmlnet/qmlnet
microsoft/azure-pipelines-agent
icsharpcode/AvalonEdit
nilaoda/N_m3u8DL-CLI
ComponentFactory/Krypton
webprofusion/certify
damianh/LibLog
ricardojmendez/UnitySteer
bombomby/optick
MichalStrehovsky/zerosharp
ashmind/SharpLab
nilaoda/The-New-M3U8-Downloader
LorenzCK/OnTopReplica
keijiro/KvantSpray
zengzhan/qqzeng-ip
PowerShell/PSScriptAnalyzer
ArcadeRenegade/SidebarDiagnostics
UnigramDev/Unigram
emgucv/emgucv
primaryobjects/AI-Programmer
Depressurizer/Depressurizer
StyleCop/StyleCop
Unity-Technologies/Unity.Mathematics
YarnSpinnerTool/YarnSpinner
microsoft/VSSDK-Extensibility-Samples
unity3d-jp/unitychan-crs
madskristensen/MiniBlog
Verasl/BoatAttack
Unity-Technologies/arfoundation-samples
lidgren/lidgren-network-gen3
phw198/OutlookGoogleCalendarSync
mafaca/UtinyRipper
StackExchange/NetGain
Grabacr07/KanColleViewer
johanneszab/TumblThree
asc-lab/dotnetcore-microservices-poc
simpleinjector/SimpleInjector
Tyrrrz/DiscordChatExporter
UnityCommunity/UnityLibrary
reactiveui/DynamicData
loresoft/msbuildtasks
SnpM/LockstepFramework
TheCGDF/SSD-Windows
aspnet/Razor
MahApps/MahApps.Metro.IconPacks
sirWest/AudioSwitch
cloudscribe/cloudscribe
paulyoder/LinqToExcel
qiankanglai/LoopScrollRect
tModLoader/tModLoader
microsoft/botframework-solutions
yingDev/WGestures
zkSNACKs/WalletWasabi
RickStrahl/MarkdownMonster
todbot/blink1
Unity-Technologies/multiplayer
ArthurHub/HTML-Renderer
microsoft/GalaxyExplorer
lampo1024/DncZeus
WOA-Project/WoA-Installer-Rpi
yimengfan/BDFramework.Core
DynamoDS/Dynamo
SciSharp/BotSharp
structuremap/structuremap
GaoKaiHaHa/MyUnityFrameWork
microsoft/WindowsCompositionSamples
HTBox/allReady
SubnauticaNitrox/Nitrox
praeclarum/Netjs
dotnet/iot
danielpalme/ReportGenerator
realm/realm-dotnet
justcoding121/Titanium-Web-Proxy
aspnet/DependencyInjection
Belphemur/SoundSwitch
VitalElement/AvalonStudio
facebook-csharp-sdk/facebook-csharp-sdk
MarcosMeli/FileHelpers
ProxyKit/ProxyKit
KirillOsenkov/MSBuildStructuredLog
keijiro/Voxelman
saaskit/saaskit
lgsvl/simulator
thefuntastic/Unity3d-Finite-State-Machine
oleg-shilo/cs-script
filipw/Strathweb.CacheOutput
microsoft/CodeContracts
JetBrains/resharper-unity
zkavtaskin/Domain-Driven-Design-Example
PavelTorgashov/FastColoredTextBox
aspnet/Benchmarks
OmniSharp/omnisharp-roslyn
sestoft/C5
EasyHttp/EasyHttp
keijiro/Pix2Pix
Terminals-Origin/Terminals
chkimes/graphql-net
petabridge/akka-bootcamp
cobbr/SharpSploit
toddams/RazorLight
MarlabsInc/SocialGoal
keijiro/Reaktion
googleapis/google-api-dotnet-client
nicehash/NiceHashMiner-Archived
Netflix/Fido
SolrNet/SolrNet
rallion/depressurizer
prajjwaldimri/GithubXamarin
unosquare/embedio
microsoft/VS-PPT
davidfowl/Todos
PiranhaCMS/piranha.core
tomakita/Colorful.Console
dotnet/roslyn-analyzers
chocolatey/ChocolateyGUI
Tyrrrz/LightBulb
Unity-Technologies/InputSystem
SharePoint/PnP-PowerShell
dotnet/templating
mob-sakai/ParticleEffectForUGUI
helix-toolkit/helix-toolkit
rnwood/smtp4dev
wudixiaop/ShaderlabVS
dwmkerr/sharpshell
aspnet-contrib/AspNet.Security.OAuth.Providers
BluestormDNA/ProjectPSX
outflanknl/EvilClippy
prime31/CharacterController2D
NetEase/UnitySocketIO
AArnott/pinvoke
kevin-montrose/Sigil
NRules/NRules
ericdc1/Dapper.SimpleCRUD
mr-kelly/KSFramework
drojdjou/J3D
ariacom/Seal-Report
mysql-net/MySqlConnector
microsoft/Microsoft.IO.RecyclableMemoryStream
kwwwvagaa/NetWinformControl
gautema/CQRSlite
digimezzo/dopamine-windows
azzvx/gogotester
machine/machine.specifications
ElPsyCongree/LuaProfiler-For-Unity
harleyQu1nn/AggressorScripts
robertohuertasm/SQLite4Unity3d
eliasts/Ocean_Community_Next_Gen
craftworkgames/MonoGame.Extended
sochix/TLSharp
p3nt4/PowerShdll
davideicardi/DynamicExpresso
MattRix/Futile
GhostPack/Rubeus
newbe36524/Newbe.Mahua.Framework
OPCFoundation/UA-.NETStandard
brockallen/BrockAllen.MembershipReboot
NickCraver/StackExchange.Exceptional
setchi/FancyScrollView
WebApiContrib/WebAPIContrib
shadowsocksr-rm/shadowsocksr-csharp
eladshamir/Internal-Monologue
rotorgames/Rg.Plugins.Popup
obfuscar/obfuscar
phorcys/Taiwu_mods
sabresaurus/SabreCSG
hvanbakel/CsprojToVs2017
Redth/ZXing.Net.Mobile
microsoft/dotnet-apiport
mganss/HtmlSanitizer
nea/MarkdownViewerPlusPlus
TomorrowTodayLabs/NewtonVR
SodiumFRP/sodium
Interkarma/daggerfall-unity
tgjones/gemini
disruptor-net/Disruptor-net
Real-Serious-Games/C-Sharp-Promise
LitJSON/litjson
moonsharp-devs/moonsharp
jaquadro/NBTExplorer
lucabriguglia/Weapsy
davidfowl/Micronetes
dotnetcore/EasyCaching
aws/aws-lambda-dotnet
mono/taglib-sharp
Unity-Technologies/EditorXR
bitdust/EarthLiveSharp
Mpdreamz/shellprogressbar
prime31/TouchKit
TeamSirenix/odin-serializer
TomaszRewak/C-sharp-console-gui-framework
acgessler/open3mod
GhostPack/Seatbelt
Klocman/Bulk-Crap-Uninstaller
zzzprojects/Z.ExtensionMethods
lbugnion/mvvmlight
tonerdo/pose
jacobdufault/fullserializer
xasset/xasset
empira/PDFsharp
uxmal/reko
rxtur/BlogEngine.NET
Lunat1q/Catchem-PoGo
flagbug/YoutubeExtractor
SadConsole/SadConsole
stratisproject/StratisBitcoinFullNode
MarimerLLC/csla
Pathoschild/SMAPI
schotime/NPoco
cedrozor/myrtille
keijiro/ShaderGraphExamples
msgpack/msgpack-cli
Just2good/TFT-Overlay
WWILLV/GodOfHacker
sendgrid/sendgrid-csharp
googleads/googleads-mobile-unity
cyanfish/naps2
gluck/il-repack
aspnet/AspNetKatana
lunet-io/scriban
MultiPoolMiner/MultiPoolMiner
shack2/SNETCracker
Unity-Technologies/AutoLOD
Quobject/SocketIoClientDotNet
PrismLibrary/Prism-Samples-Wpf
ZeBobo5/Vlc.DotNet
cq-panda/Vue.NetCore
stsrki/Blazorise
Varorbc/PaySharp
nilaoda/M3U8-Downloader
alastairtree/LazyCache
Unity-Technologies/VisualEffectGraph-Samples
bcgit/bc-csharp
aliostad/CacheCow
mono/Embeddinator-4000
xamarinhq/app-conference
nuke-build/nuke
linvi/tweetinvi
tonerdo/readline
aritchie/userdialogs
scottksmith95/LINQKit
gradientspace/geometry3Sharp
essensoft/payment
Squirrel/OldSquirrelForWindows
dnnsoftware/Dnn.Platform
dotnetcore/Alipay.AopSdk.Core
dotliquid/dotliquid
dotless/dotless
andrewkirillov/AForge.NET
OData/WebApi
SaladLab/Json.Net.Unity3D
mike-ward/Markdown-Edit
fdorg/flashdevelop
guryanovev/CrystalQuartz
sjkp/letsencrypt-siteextension
reactiveui/splat
dotBunny/VSCode
giacomelli/GeneticSharp
grumpydev/TinyIoC
jacobslusser/ScintillaNET
cakeslice/Outline-Effect
PistonDevelopers/VisualRust
unosquare/passcore
alanmcgovern/monotorrent
slipster216/VertexPaint
VaughnVernon/IDDD_Samples_NET
IdentityManager/IdentityManager
AElfProject/AElf
pbhogan/InControl
SebLague/Path-Creator
Krutonium/Windows-10-Login-Background-Changer
PlayFab/consuldotnet
Naphier/unity-design-patterns
ivaylokenov/MyTested.WebApi
OfficeDev/TrainingContent
KhronosGroup/UnityGLTF
Tencent/InjectFix
icsharpcode/NRefactory
lukebuehler/CShell
System-IO-Abstractions/System.IO.Abstractions
microsoft/Recognizers-Text
anaisbetts/ModernHttpClient
vkhorikov/CSharpFunctionalExtensions
GuillaumeSalles/redux.NET
spring-projects/spring-net
dathlin/ClientServerProject
MarkNijhof/Fohjin
xamarin/xamarin-forms-book-samples
npgsql/efcore.pg
antiufo/roslyn-linq-rewrite
MuMech/MechJeb2
ldqk/Masuit.Tools
dotnetcore/SmartSql
WOA-Project/WOA-Deployer-Rpi
SciSharp/NumSharp
dotnet/ILMerge
carlospolop/privilege-escalation-awesome-scripts-suite
henon/GitSharp
