vsouza/awesome-ios
SvenTiigi/WhatsNewKit
Thomvis/BrightFutures
apple/sourcekit-lsp
demonnico/PinterestSwift
daltoniam/SwiftHTTP
WeTransfer/WeScan
carekit-apple/CareKit
remirobert/Dotzu
yukiasai/Gecco
stencilproject/Stencil
nakiostudio/EasyPeasy
AssistoLab/DropDown
malcommac/Hydra
CezaryKopacz/CKWaveCollectionViewTransition
uias/Tabman
corin8823/Popover
ReactorKit/ReactorKit
52inc/Pulley
jflinter/Dwifft
evnaz/ENSwiftSideMenu
marmelroy/Zip
jpsim/SourceKitten
JohnSundell/Files
haxpor/Potatso
fdzsergio/SFFocusViewLayout
marmelroy/Interpolate
pmusolino/Wormholy
itsmeichigo/DateTimePicker
wojteklu/Watchdog
rileytestut/AltStore
JohnSundell/SwiftPlate
peripheryapp/periphery
ishkawa/APIKit
onmyway133/DeepDiff
jakarmy/swift-summary
johnlui/SwiftSideslipLikeQQ
Awalz/SwiftyCam
TinyCrayon/TinyCrayon-iOS-SDK
xmartlabs/Bender
apple/swift-log
hkellaway/Gloss
zalando/SwiftMonkey
DroidsOnRoids/MPParallaxView
evgenyneu/Cosmos
objcio/app-architecture
akosma/SwiftMoment
sberrevoets/SDCAlertView
yacir/CollectionViewSlantedLayout
aslanyanhaik/Quick-Chat
Dimillian/SwiftHN
TwoLivesLeft/Menu
indragiek/InAppViewDebugger
onevcat/APNGKit
evgenyneu/keychain-swift
JohnSundell/TestDrive
GitHawkApp/MessageViewController
tilltue/TLPhotoPicker
shogo4405/HaishinKit.swift
Danie1s/Tiercel
vhesener/Closures
NextLevel/NextLevel
twicketapp/TwicketSegmentedControl
Polidea/react-native-ble-plx
mono0926/LicensePlist
ochococo/OOD-Principles-In-Swift
luoxiu/Schedule
JohnSundell/ImagineEngine
JohnSundell/Ink
marty-suzuki/SAHistoryNavigationViewController
facebookarchive/facebook-swift-sdk
Ramotion/fluid-slider
piemonte/Player
home-assistant/Iconic
twostraws/Unwrap
davedelong/time
me-abhinav/NumberMorphView
cjwirth/RichEditorView
CosmicMind/Motion
amayne/SwiftString
thoughtbot/Tropos
ohoachuck/wwdc-downloader
marty-suzuki/ReverseExtension
johnno1962/InjectionIII
Marxon13/M13Checkbox
MaximKotliar/Bartinter
djyde/WebShell
Zewo/Venice
cyanzhong/xTextHandler
BrikerMan/BMPlayer
BalestraPatrick/WhatsNew
makomori/Sharaku
lbrndnr/ImagePickerSheetController
fossasia/susi_iOS
keitaoouchi/MarkdownView
exyte/ARTetris
nvzqz/RandomKit
ScottLogic/iOS9-day-by-day
mchoe/SwiftSVG
Ramotion/gliding-collection
tmdvs/TDBadgedCell
layoutBox/PinLayout
uias/Pageboy
vanshg/MacAssistant
zoonooz/ZFRippleButton
marmelroy/FileBrowser
sudeepag/SAConfettiView
material-motion/material-motion-swift
hanleyweng/CoreML-in-ARKit
khoren93/SwiftHub
AAChartModel/AAChartKit-Swift
kylef/Commander
diwu/LeetCode-Solutions-in-Swift
thii/FontAwesome.swift
app-developers/top
adamwaite/Validator
vandadnp/iOS-8-Swift-Programming-Cookbook
louisdh/openterm
orazz/CreditCardForm-iOS
richardtop/CalendarKit
IdleHandsApps/IHKeyboardAvoiding
tidwall/SwiftWebSocket
luispadron/UICircularProgressRing
younatics/MotionBook
kylef/Mockingjay
gmarm/BetterSegmentedControl
Finb/V2ex-Swift
zvonicek/ImageSlideshow
Nonchalant/AppIcon
hyperoslo/BarcodeScanner
Clean-Swift/CleanStore
sindresorhus/touch-bar-simulator
mxcl/swift-sh
QueryKit/QueryKit
emreozdil/Swift-Daily-Tips
caiyue1993/IceCream
square/Cleanse
kevinzhow/PNChart-Swift
steve228uk/MessengerKit
RxSwiftCommunity/RxAlamofire
BilalReffas/EmojiIntelligence
Ekhoo/Device
malcommac/Repeat
relatedcode/RealtimeChat
Pyroh/Fluor
zenangst/Spots
eggswift/pull-to-refresh
vadymmarkov/Fakery
SwiftyJSON/Alamofire-SwiftyJSON
marcosgriselli/EasyTransitions
onevcat/Rainbow
AppPear/ChartView
IdeasOnCanvas/Aiolos
sobri909/LocoKit
dduan/Just
SwiftValidatorCommunity/SwiftValidator
zhangao0086/DKImagePickerController
ortuman/SwiftForms
imwcl/WCLShineButton
JohnSundell/Splash
Nicejinux/NXDrawKit
antoniocasero/Panels
lovoo/NSFWDetector
TBXark/TKRubberIndicator
nmdias/DefaultsKit
BoltsFramework/Bolts-Swift
emaloney/CleanroomLogger
rwbutler/Connectivity
JiriTrecak/Laurine
devxoul/Toaster
muukii/NextGrowingTextView
pointfreeco/swift-snapshot-testing
quickbirdstudios/XCoordinator
michaelvillar/timer-app
weichsel/ZIPFoundation
Yalantis/ColorMatchTabs
RxSwiftCommunity/RxFlow
typelift/SwiftCheck
Khan/SwiftTweaks
amitburst/HackerNews
OnionBrowser/OnionBrowser
svhawks/VideoSplashKit
ra1028/Former
duzexu/ARuler
johnlui/AutoLayout
hollance/Forge
yoavlt/LiquidLoader
Nike-Inc/Willow
younatics/YNDropDownMenu
3lvis/Networking
Yalantis/PixPic
ReactKit/ReactKit
swiftsocket/SwiftSocket
hyperoslo/Gallery
apple/swift-syntax
ApolloZhu/Developing-iOS-11-Apps-with-Swift
MxABC/swiftScan
dsmelov/simsim
marmelroy/Format
Nirma/UIFontComplete
krzyzanowskim/Natalie
aschuch/AwesomeCache
shu223/ARKit-Sampler
ink-spot/UPCarouselFlowLayout
slazyk/Observable-Swift
marcosgriselli/Sizes
Brightify/Cuckoo
fossasia/open-event-attendee-ios
Jintin/Swimat
trustwallet/trust-wallet-ios
willpowell8/LocalizationKit_iOS
kylef/PathKit
eddiekaiger/SwiftyAttributes
hyperoslo/Lightbox
UrbanApps/Armchair
roberthein/Ease
FahimF/FloatLabelFields
janselv/fave-button
CocoaPods/CocoaPods-app
didierbrun/DBPathRecognizer
gee1k/uPic
GEOSwift/GEOSwift
andreamazz/SubtleVolume
tomvanzummeren/TZStackView
146BC/StyleKit
venmo/Static
RxSwiftCommunity/RxKeyboard
JohnSundell/Plot
shu223/Pulsator
insidegui/PodcastMenu
hpique/SwiftSingleton
archagon/tasty-imitation-keyboard
nicktoumpelis/HiBeacons
lyft/mapper
nsomar/Guaka
attaswift/BTree
yonaskolb/Mint
GitHawkApp/StyledTextKit
kciter/Floaty
nsomar/Swiftline
AFathi/ARVideoKit
drmohundro/SWXMLHash
gragrance/CaptuocrToy
swiftgif/SwiftGif
fossasia/badge-magic-ios
yannickl/QRCodeReader.swift
NathanFlurry/VisualProgrammingLanguage
DeclarativeHub/ReactiveKit
kostiakoval/WatchKit-Apps
marmelroy/TVButton
YANGReal/JokeClient-Swift
devxoul/RxTodo
kirualex/SwiftyGif
jrendel/SwiftKeychainWrapper
TelegramMessenger/Telegram-iOS
seedante/CardAnimation
davdroman/Popsicle
fossasia/open-event-organizer-ios
PiXeL16/RevealingSplashView
skyming/Trip-to-iOS-Design-Patterns
attaswift/Attabench
bignerdranch/Freddy
radex/SwiftyTimer
tnantoka/edhita
SimonFairbairn/SwiftyMarkdown
melvitax/DateHelper
kf99916/TimelineTableViewCell
rockbruno/swiftshield
mattt/Euler
tuist/XcodeProj
teodorpatras/SideMenuController
JohnSundell/Codextended
luosheng/OpenSim
yannickl/DynamicButton
jatoben/CommandLine
nicklockwood/RetroRampage
IBM-Swift/BlueSocket
efremidze/Magnetic
LeonardoCardoso/SwiftLinkPreview
Lickability/PinpointKit
Polidea/RxBluetoothKit
onevcat/Hedwig
Yalantis/PullToRefresh
voisine/breadwallet-ios
DeepLearningKit/DeepLearningKit
layoutBox/FlexLayout
JensRavens/Interstellar
Nightonke/Gitee
joshaber/Few.swift
jogendra/LoadingShimmer
marciok/Mu
efremidze/Cluster
Anviking/Decodable
mikaoj/BSImagePicker
younatics/YNSearch
scotteg/LayerPlayer
MHaroonBaig/MotionKit
EndouMari/TabPageViewController
kentya6/KYCircularProgress
FancyPixel/gulps
shu223/watchOS-2-Sampler
wangshengjia/VWInstantRun
mkoehnke/WKZombie
0x73/SwiftIconFont
SwiftKitz/Appz
amzn/smoke-framework
jeantimex/ios-swift-collapsible-table-section
uraimo/SwiftyGPIO
AudioKit/AudioKitSynthOne
ArtemGordinsky/Spotifree
hyperoslo/Sugar
broadwaylamb/OpenCombine
pujiaxin33/JXSegmentedView
Codigami/CFAlertViewController
yannickl/Splitflap
wangjwchn/AImage
mzeeshanid/MZDownloadManager
delba/JASON
toineheuvelmans/Metron
WillieWangWei/SwiftUI-Tutorials
KevinGong2013/ChineseIDCardOCR
PureSwift/Cacao
maxkonovalov/MKRingProgressView
dreymonde/Time
smileyborg/TableViewCellWithAutoLayoutiOS8
PopcornTimeTV/PopcornTimeTV
RocketChat/Rocket.Chat.iOS
yeahdongcn/UIColor-Hex-Swift
johnno1962/Refactorator
instant-solutions/ISTimeline
jVirus/ios-learning-materials
HearthSim/HSTracker
vapor/fluent
iltercengiz/ICViewPager
skywinder/GaugeKit
imaginary-cloud/CameraManager
gmertk/BusyNavigationBar
ApplikeySolutions/PandoraPlayer
danielsaidi/Sheeeeeeeeet
totocaster/Typist
recruit-mtl/Graphs
krzysztofzablocki/KZFileWatchers
freshOS/KeyboardLayoutGuide
emqx/CocoaMQTT
wangshengjia/LeeGo
jonathantribouharet/JTMaterialTransition
microsoft/DarkModeKit
SteveBarnegren/TweenKit
fastred/IBAnalyzer
ArtSabintsev/FontBlaster
MarioIannotta/PullUpController
bryx-inc/BRYXBanner
wulkano/Aperture
liuzhiyi1992/ZYThumbnailTableView
saoudrizwan/CardSlider
krzysztofzablocki/LinkedConsole
RxSwiftCommunity/RxGesture
ennioma/arek
candostdagdeviren/CDAlertView
naoyashiga/Dunk
izqui/Taylor
wokalski/Diff.swift
BalestraPatrick/ParticlesLoadingView
guillermomuntaner/Burritos
evermeer/EVReflection
CaliCastle/PopMenu
netyouli/WHC_ConfuseSoftware
C4Labs/C4iOS
RxSwiftCommunity/RxSwiftExt
RxSwiftCommunity/RxRealm
AladinWay/TransitionButton
mozilla-mobile/focus-ios
elliottminns/blackfire
dreymonde/AppFolder
kciter/GlitchLabel
kaishin/ImageScout
edopelawi/CascadingTableDelegate
awslabs/aws-sdk-ios-samples
michaelhenry/ImageViewer.swift
soffes/RateLimit
SkrewEverything/Swift-Keylogger
fruitcoder/ReplaceAnimation
danthorpe/Money
scihant/CTPanoramaView
ole/whats-new-in-swift-4-2
jdisho/Papr
krzysztofzablocki/Traits
devxoul/SwiftyImage
alexeyxo/protobuf-swift
LeoMobileDeveloper/ios-developer-tools
yannickl/FlowingMenu
objcio/functional-swift
vandadnp/swift-weekly
onmyway133/Snowflake
Ramotion/cardslider
p2/OAuth2
lyimin/beautifulApp
apple/swift-argument-parser
kazuhiro4949/PagingKit
tristanhimmelman/HidingNavigationBar
Q-Mobile/QGrid
FlexMonkey/Blurable
youngsoft/TangramKit
agrinman/sift-ios
juanpablofernandez/SwiftyOnboard
igorkulman/iOSLocalizationEditor
FabrizioBrancati/Queuer
thompsonate/Shifty
KittenYang/GooeyTabbar
cats-oss/Sica
pvzig/SlackKit
apasccon/SearchTextField
mileswd/mac2imgur
whitesmith/WSTagsField
ProtonMail/ios-mail
younatics/Highlighter
jcavar/refresher
raspu/Highlightr
onmyway133/RoughSwift
IBDecodable/IBLinter
antiguab/BATabBarController
DroidsOnRoids/RxSwiftExamples
sindresorhus/Plash
mariohahn/StatusProvider
cocoatoucher/AIFlatSwitch
watson-developer-cloud/swift-sdk
FabrizioBrancati/BFKit-Swift
Boerworz/Gagat
benjaminmayo/merchantkit
johnpatrickmorgan/wtfautolayout
ParkGwangBeom/Windless
gpbl/SwiftChart
SwiftUIX/SwiftUIX
p0deje/Maccy
woshiccm/Pecker
fulldecent/FDWaveformView
googleprojectzero/fuzzilli
ra1028/RAReorderableLayout
naru-jpn/View2ViewTransition
practicalswift/swift-compiler-crashes
evgenyneu/Dodo
GitHawkApp/ContextMenu
crossroadlabs/Express
Awesome-Server-Side-Swift/TheList
gmertk/ParkedTextField
kaandedeoglu/KDCircularProgress
railsware/Sleipnir
tadija/AEXML
johnlui/Pitaya
eonist/Element
cesarferreira/SwiftEventBus
Ramotion/elongation-preview
nickoneill/Pantry
freshOS/Then
adamcichy/SwiftySound
Luur/SwiftTips
tuist/tuist
neoneye/SwiftyFORM
ProcedureKit/ProcedureKit
tophat/RichTextView
dengzemiao/DZMeBookRead
ptsochantaris/trailer
ra1028/Carbon
sasojadrovski/SJFluidSegmentedControl
wigl/iSimulator
blueapron/Mandoline
NoTests/RxFeedback.swift
consenlabs/token-core-ios
saidsikira/Overdrive
CosmicMind/Graph
nixzhu/Proposer
cezheng/Fuzi
turbolinks/turbolinks-ios
Flinesoft/BartyCrouch
VideoFlint/Cabbage
mcmatan/ImageOpenTransition
honghaoz/Ji
zhuhaow/Specht
steamclock/bluejay
luckymarmot/ThemeKit
jpsim/PeerKit
bennyguitar/News-YC---iPhone
marmelroy/ObjectiveKit
BohdanOrlov/BouncyPageViewController
64characters/Telephone
hyperoslo/Compass
fahidattique55/FAPanels
huggingface/swift-coreml-transformers
AliSoftware/Dip
joshaber/SwiftBox
goktugyil/EZSwipeController
agens-no/swiff
plu/pxctest
halo/LinkLiar
Harley-xk/MaLiang
markohlebar/Import
insanoid/SwiftyJSONAccelerator
thoughtbot/Runes
utatti/kawa
osteslag/Changeset
nabilfreeman/ios-universal-webview-boilerplate
gmertk/GMStepper
indragiek/DominantColor
johnlui/SwiftNotice
isair/JSONHelper
apple/swift-corelibs-xctest
delba/Log
jeffreybergier/Blog-Getting-Started-with-Vision
farice/ARShooter
seedco/StackViewController
kawoou/FlexibleImage
mssun/passforios
gabrieloc/GIOVANNI
jariz/Noti
ReactKit/SwiftState
loganwright/Genome
TBXark/TKSwitcherCollection
fpg1503/MakeXcodeGr8Again
hollance/YOLO-CoreML-MPSNNGraph
popwarsweet/PageControls
Alecrim/AlecrimCoreData
dgurkaynak/Penc
DanisFabric/RainbowNavigation
bvogelzang/SevenSwitch
olddonkey/ShadowImageView
pointfreeco/swift-overture
inamiy/SwiftRewriter
ipraba/EPSignature
davedelong/DDMathParser
Cuberto/bubble-icon-tabbar
buildasaurs/Buildasaur
JakeLin/SaveTheDot
draveness/NightNight
nettlep/learn-swift
goktugyil/QorumLogs
devlucky/Kakapo
dalu93/Each
yysskk/SwipeMenuViewController
JiongXing/PhotoBrowser
tispr/tispr-card-stack
