rails/rails
opal/opal
jeremyevans/sequel
rmosolgo/graphql-ruby
binarylogic/authlogic
activemerchant/active_merchant
mina-deploy/mina
kneath/kss
errbit/errbit
sparklemotion/mechanize
eventmachine/eventmachine
aasm/aasm
willianjusten/awesome-svg
busyloop/lolcat
colszowka/simplecov
prawnpdf/prawn
danger/danger
octobox/octobox
rack/rack
solnic/virtus
cesarferreira/dryrun
flyerhzm/rails_best_practices
celluloid/celluloid
mongodb/mongoid
trogdoro/xiki
rails/jbuilder
pluginaweek/state_machine
refinery/refinerycms
typhoeus/typhoeus
redmine/redmine
awesome-print/awesome_print
chatwoot/chatwoot
opf/openproject
ryanb/ruby-warrior
nesquena/rabl
svenfuchs/rails-i18n
laserlemon/figaro
thoughtbot/suspenders
dejan/rails_panel
redis/redis-rb
github/gemoji
haml/haml
arsduo/koala
grosser/parallel
sds/scss-lint
ctran/annotate_models
SteveLTN/https-portal
soffes/sstoolkit
jruby/jruby
defunkt/gist
dtan4/terraforming
RailsApps/rails-composer
plusjade/jekyll-bootstrap
xcpretty/xcpretty
peatio/peatio
sketchplugins/plugin-directory
hendricius/the-bread-code
bblimke/webmock
troessner/reek
voltrb/volt
oa414/objc-zen-book-cn
voormedia/rails-erd
padrino/padrino-framework
FontCustom/fontcustom
thoughtbot/clearance
octokit/octokit.rb
sds/overcommit
zdennis/activerecord-import
defunkt/dotjs
mikel/mail
livoras/blog
fatfreecrm/fat_free_crm
sagivo/algorithms
apigy/selfstarter
instructure/canvas-lms
swanson/stringer
ryanb/letter_opener
peek/peek
aws/aws-sdk-ruby
layervault/psd.rb
Homebrew/homebrew-bundle
mileszs/wicked_pdf
ankane/groupdate
MiniProfiler/rack-mini-profiler
asciidoctor/asciidoctor
mojombo/chronic
trailblazer/trailblazer
stefankroes/ancestry
airbnb/ruby
thoughtbot/high_voltage
sensu/sensu
petergoldstein/dalli
solidusio/solidus
zmoazeni/csscss
nathanvda/cocoon
trailblazer/cells
travisjeffery/timecop
lynndylanhurley/devise_token_auth
nomad/houston
deivid-rodriguez/byebug
athityakumar/colorls
ankane/ahoy
openblockchains/awesome-blockchains
gazay/gon
EugenMayer/docker-sync
jwt/ruby-jwt
github/janky
thoughtbot/shoulda-matchers
roidrage/lograge
grosser/parallel_tests
seattlerb/minitest
play/play
rouge-ruby/rouge
chaps-io/public_activity
github/secure_headers
krisleech/wisper
X140Yu/Developing_iOS_8_Apps_With_Swift
dotless-de/vagrant-vbguest
pdfkit/pdfkit
RolifyCommunity/rolify
eddiezane/lunchy
Arachni/arachni
aanand/git-up
nomad/cupertino
hothero/awesome-rails-gem
mustache/mustache
elastic/elasticsearch-rails
activeadmin/inherited_resources
boxen/our-boxen
comfy/comfortable-mexican-sofa
hashie/hashie
jubos/fake-s3
collectiveidea/audited
objc-zen/objc-zen-book
rspec/rspec
SUSE/Portus
httprb/http
fetlife/rollout
pickhardt/betty
collectiveidea/interactor
Netflix-Skunkworks/Scumblr
shrinerb/shrine
rails/spring
DatabaseCleaner/database_cleaner
mitchellh/vagrant-aws
minimagick/minimagick
teampoltergeist/poltergeist
Linuxbrew/brew
rubysherpas/paranoia
lobsters/lobsters
randym/axlsx
lg/murder
DavyJonesLocker/client_side_validations
thoughtbot/factory_bot_rails
gravityblast/web-app-theme
refile/refile
feedbin/feedbin
postrank-labs/goliath
fixerAPI/fixer
edavis10/redmine
brandonhilkert/sucker_punch
ddnexus/pagy
thiagopradi/octopus
nslocum/design-patterns-in-ruby
kanwei/algorithms
ankane/blazer
wincent/command-t
activerecord-hackery/squeel
NoamB/sorcery
splitrb/split
schneems/derailed_benchmarks
mizzy/serverspec
scenic-views/scenic
influitive/apartment
franzejr/best-ruby
roo-rb/roo
scambra/devise_invitable
rubygems/rubygems
locomotivecms/engine
Linuxbrew/legacy-linuxbrew
zombocom/wicked
trailblazer/reform
jamesrwhite/minicron
kpumuk/meta-tags
Shopify/bootsnap
RubyMoney/money
urbanadventurer/WhatWeb
JXA-Cookbook/JXA-Cookbook
wardencommunity/warden
prontolabs/pronto
wvanbergen/request-log-analyzer
technicalpickles/homesick
carolcodes/videos-pt.br-tecnologia
googleapis/google-api-ruby-client
trulia/hologram
collectiveidea/awesome_nested_set
oracle/truffleruby
plamoni/SiriProxy
mojombo/god
cerebris/jsonapi-resources
rubysec/bundler-audit
stephencelis/ghi
jnunemaker/flipper
tobi/delayed_job
Apipie/apipie-rails
piotrmurach/tty
mislav/git-deploy
fastlane/ci
markevans/dragonfly
galetahub/ckeditor
jmettraux/rufus-scheduler
macournoyer/thin
thoughtbot/shoulda
billie66/TLCL
sorbet/sorbet
codekitchen/dinghy
premailer/premailer
fnando/browser
jch/html-pipeline
ruboto/ruboto
interagent/prmd
inspec/inspec
ryanb/nifty-generators
zammad/zammad
thoughtbot/capybara-webkit
jondot/sneakers
codeclimate/codeclimate
remi/teamocil
hartator/wayback-machine-downloader
eliotsykes/rspec-rails-examples
airbnb/synapse
ankane/strong_migrations
brianmario/mysql2
feedjira/feedjira
pluralsight/git-internals-pdf
pact-foundation/pact-ruby
nateware/redis-objects
globalize/globalize
nsarno/knock
igrigorik/gharchive.org
oauth-xx/oauth2
github/github-services
loomio/loomio
Chris911/iStats
savonrb/savon
xcpretty/xcode-install
seejohnrun/ice_cube
thoughtbot/gitsh
donmelton/video_transcoding
karmi/retire
etsy/deployinator
sharetribe/sharetribe
mojombo/grit
redbooth/teambox
cloudfoundry/bosh
citation-style-language/styles
remi/her
junegunn/redis-stat
rubygems/rubygems.org
github/choosealicense.com
helpyio/helpy
raganwald-deprecated/homoiconic
MacRuby/MacRuby
hamstergem/hamster
nanoc/nanoc
rom-rb/rom
heartcombo/responders
ryanb/nested_form
trailblazer/roar
rtomayko/tilt
attr-encrypted/attr_encrypted
houndci/hound
ruby-prof/ruby-prof
adamcooke/staytus
AssetSync/asset_sync
calabash/calabash-ios
theforeman/foreman
dchelimsky/rspec
sinclairtarget/um
publify/publify
websocket-rails/websocket-rails
htty/htty
ruby/rake
hoochanlon/fq-book
geerlingguy/ansible-vagrant-examples
git/git-scm.com
newrelic/centurion
octopress/octopress
que-rb/que
devopsgroup-io/vagrant-digitalocean
ruby/did_you_mean
elastic/elasticsearch-ruby
radiant/radiant
dennisreimann/ioctocat
ffi/ffi
test-kitchen/test-kitchen
twbs/bootstrap-rubygem
stevegraham/slanger
resque/resque-scheduler
igrigorik/em-websocket
hashrocket/decent_exposure
tenex/rails-assets
welaika/wordmove
codebrew/backbone-rails
asmuth/recommendify
rpush/rpush
antirez/redis-doc
liftoffcli/liftoff
ambethia/recaptcha
soundcloud/lhm
iridakos/duckrails
rubyconfig/config
calabash/calabash-android
CocoaPods/Xcodeproj
illacceptanything/illacceptanything
dblock/fui
chriskite/anemone
mongomapper/mongomapper
tmm1/stackprof
Homebrew/homebrew-cask-fonts
mailboxer/mailboxer
brunofacca/zen-rails-security-checklist
boxen/boxen
mbj/mutant
deivid-rodriguez/pry-byebug
pat/thinking-sphinx
litaio/lita
phstc/shoryuken
github/explore
technoweenie/restful-authentication
strongself/Generamba
insoshi/insoshi
brendon/acts_as_list
benjaminoakes/maid
danmayer/coverband
gimite/google-drive-ruby
logstash-plugins/logstash-patterns-core
glebm/i18n-tasks
toptal/chewy
guard/listen
stripe/mosql
lsegal/yard
brynary/webrat
iberianpig/fusuma
rubysherpas/forem
socketry/falcon
cldwalker/hirb
Shopify/identity_cache
skycocker/chromebrew
steelThread/redmon
geokit/geokit
vagrant-libvirt/vagrant-libvirt
brainspec/enumerize
tmm1/rbtrace
hybridgroup/artoo
stripe/einhorn
catarse/catarse
hexorx/countries
radar/guides
dev-sec/ansible-os-hardening
senchalabs/jsduck
buo/homebrew-cask-upgrade
technicalpickles/jeweler
rharriso/bower-rails
tongueroo/jets
github/pages-gem
rubber/rubber
gitlabhq/gitlab-ci
ruby-git/ruby-git
vdaubry/github-awards
petems/tugboat
pluosi/app-host
maccman/monocle
bobthecow/genghis
noidontdig/gitdown
ClosureTree/closure_tree
gottfrois/dashing-rails
kontena/kontena
NREL/api-umbrella
evrone/quiet_assets
streamio/streamio-ffmpeg
arbox/machine-learning-with-ruby
redis-store/redis-store
facebookarchive/instagram-ruby-gem
jewel/clearskies
ooyala/barkeep
reenhanced/gitreflow
Intrepidd/rails-footnotes
assaf/vanity
geokit/geokit-rails
RailsApps/rails_apps_composer
bootstrap-ruby/bootstrap_form
travis-ci/travis.rb
ankane/the-ultimate-guide-to-ruby-timeouts
ivaldi/brimir
natew/obtvse
cloudhead/toto
sporkrb/spork
railsware/js-routes
shoes/shoes4
seven1m/onebody
binarylogic/searchlogic
AaronLasseigne/active_interaction
heartcombo/has_scope
emberjs/ember-rails
gonzalo-bulnes/simple_token_authentication
Homebrew/homebrew-services
binarylogic/settingslogic
mongodb/mongo-ruby-driver
heroku/legacy-cli
chrismccord/render_sync
stripe/stripe-ruby
ytti/oxidized
thisredone/rb
egonSchiele/contracts.ruby
devopsgroup-io/vagrant-hostmanager
gettalong/kramdown
ffaker/ffaker
guipdutra/awesome-geek-podcasts
basecamp/mail_view
yob/pdf-reader
soveran/cuba
desktoppr/wbench
twitter/twurl
defunkt/unicorn
soveran/ohm
thbar/kiba
matthuhiggins/foreigner
discourse/message_bus
RubyMoney/money-rails
thoughtbot/griddler
louismullie/treat
stevenosloan/slack-notifier
grobie/soundcloud2000
cloudfoundry-attic/vcap
twitter/activerecord-reputation-system
antirez/lamernews
ryanto/acts_as_votable
square/cane
zendesk/samson
tybenz/vimdeck
toy/image_optim
jfelchner/ruby-progressbar
maccman/abba
geminabox/geminabox
davidcelis/recommendable
TrestleAdmin/trestle
watir/watir
charliesome/rustboot
rroblak/seed_dump
prat0318/json_resume
charlotte-ruby/impressionist
AndroidStudyGroup/conferences
powder-rb/powder
DamirSvrtan/fasterer
orta/cocoapods-keys
fphilipe/premailer-rails
NationalSecurityAgency/SIMP
asmallteapot/cocoapods-playgrounds
basecamp/marginalia
supermarin/YosemiteSanFranciscoFont
mynyml/watchr
neo4jrb/activegraph
github/developer.github.com
rails/strong_parameters
merit-gem/merit
zipmark/rspec_api_documentation
infinitered/ProMotion
garybernhardt/selecta
cypriss/mutations
evanphx/benchmark-ips
SamSaffron/memory_profiler
ddollar/heroku-accounts
adzap/validates_timeliness
stffn/declarative_authorization
plentz/lol_dba
jashkenas/ruby-processing
Mange/roadie
24pullrequests/24pullrequests
eliotsykes/rails-security-checklist
nathanl/authority
adrianmihalko/ch340g-ch34g-ch34x-mac-os-x-driver
sporkmonger/addressable
aanand/deadweight
guard/guard-rspec
gocardless/statesman
whomwah/rqrcode
SlatherOrg/slather
HipByte/RubyMotionSamples
Eric-Guo/wechat
rweng/pry-rails
mperham/connection_pool
inket/update_xcode_plugins
twilio/twilio-ruby
simi/omniauth-facebook
ricardochimal/taps
igrigorik/em-http-request
magnusvk/counter_culture
fastlane/examples
chef-cookbooks/docker
fgrehm/vagrant-lxc
rubymotion-community/BubbleWrap
education/classroom
oneclick/rubyinstaller
brentd/xray-rails
roberdam/Xaddress
dergachev/screengif
drhenner/ror_ecommerce
ondrejbartas/sidekiq-cron
browsermedia/browsercms
jalkoby/squasher
gjtorikian/html-proofer
igrigorik/decisiontree
felipecsl/wombat
documentcloud/jammit
thredded/thredded
anycable/anycable
endofunky/sidetiq
tj/terminal-table
zquestz/omniauth-google-oauth2
sprinkle-tool/sprinkle
rtomayko/ronn
sdsykes/fastimage
cryptosphere/cryptosphere
holman/boom
ai/autoprefixer-rails
ruby-json-schema/json-schema
JEG2/highline
rack/rack-contrib
JoshCheek/seeing_is_believing
bborn/communityengine
QueueClassic/queue_classic
noahd1/oink
kostya/eye
augustl/net-http-cheat-sheet
RailsApps/rails-stripe-membership-saas
ruby-amqp/bunny
jordansissel/pleaserun
jquery-ui-rails/jquery-ui-rails
YorickPeterse/oga
davetron5000/gli
notahat/machinist
steveklabnik/request_store
LionSec/xerosploit
typus/typus
mbleigh/seed-fu
andrewculver/koudoku
email-spec/email-spec
brandonhilkert/fucking_shell_scripts
ging/social_stream
lukes/ISO-3166-Countries-with-Regional-Codes
tweetstream/tweetstream
snibox/snibox
tj/commander
cogitatio/vagrant-hostsupdater
defunkt/github-gem
tumblr/jetpants
jasonlong/geo_pattern
ActsAsParanoid/acts_as_paranoid
Shopify/shopify_app
rubyzip/rubyzip
benbalter/word-to-markdown
uohzxela/clean-code-ruby
codetriage/codetriage
brynary/rack-bug
berkshelf/berkshelf
cgriego/active_attr
elastic/ansible-elasticsearch
fgrehm/vagrant-cachier
travis-ci/dpl
brooklynDev/airborne
chrisk/fakeweb
seatgeek/soulmate
carmen-ruby/carmen
coinbase/terraform-landscape
chef/omnibus
tilo/smarter_csv
jfirebaugh/konacha
fxn/tkn
excid3/simple_calendar
openstreetmap/openstreetmap-website
nov/fb_graph
elixir-editors/vim-elixir
karafka/karafka
samg/timetrap
topfunky/gruff
caged/gitnub
rspec/rspec-expectations
defunkt/cijoe
petewarden/dstk
mdp/rotp
igrigorik/em-synchrony
aws/opsworks-cookbooks
newrelic/rpm
james2m/seedbank
samg/diffy
piotrmurach/github
brotandgames/ciao
elcuervo/airplay
fashiontec/bodyapps-web
westonganger/spreadsheet_architect
avdi/naught
michelson/lazy_high_charts
cinchrb/cinch
piotrmurach/tty-prompt
dependabot/dependabot-core
phusion/juvia
leejarvis/slop
envygeeks/jekyll-assets
technoweenie/attachment_fu
freerange/mocha
moove-it/sidekiq-scheduler
grocer/grocer
danlucraft/redcar
amro/gibbon
w181496/Web-CTF-Cheatsheet
rspec/rspec-core
jekyll/jekyll-seo-tag
nathansobo/treetop
fxn/zeitwerk
ManageIQ/manageiq
Shopify/shipit-engine
david942j/one_gadget
vccw-team/vccw
pivotal/LicenseFinder
timdorr/tesla-api
excon/excon
will/slacktyping
kmuto/review
fazibear/colorize
paulelliott/fabrication
nkallen/cache-money
activescaffold/active_scaffold
ifmeorg/ifme
mispy/twitter_ebooks
ndbroadbent/turbo-sprockets-rails3
rsl/stringex
swipely/docker-api
thoughtbot/appraisal
CocoaPods/cocoapods-deintegrate
jhawthorn/discard
Shopify/krane
Sutto/rocket_pants
yujinakayama/transpec
rails/activeresource
piscolomo/ruby-patterns
zdavatz/spreadsheet
SquareSquash/web
elevation/event_calendar
dry-rb/dry-validation
rspec/rspec-mocks
mmangino/facebooker
chloerei/writings
f-secure-foundry/usbarmory
itamae-kitchen/itamae
ruby-grape/grape-swagger
testdouble/suture
cucumber/cucumber-rails
DefactoSoftware/Hours
slack-ruby/slack-ruby-bot
onetimesecret/onetimesecret
freshshell/fresh
jeremyw/stamp
mattheworiordan/capybara-screenshot
fakefs/fakefs
capistrano/sshkit
consul/consul
Shopify/graphql-batch
argerim/select2-rails
crowdint/rails3-jquery-autocomplete
haml/haml-rails
kciter/awesome-style-guide
SciRuby/sciruby
bploetz/versionist
googleapis/google-cloud-ruby
samber/awesome-prometheus-alerts
radar/by_star
k1LoW/awspec
atipugin/telegram-bot-ruby
laserlemon/vestal_versions
castwide/solargraph
jnicklas/turnip
iobridge/thingspeak
weppos/whois
leereilly/swot
leonid-shevtsov/headless
TracksApp/tracks
rubyide/vscode-ruby
palkan/test-prof
mailman/mailman
bokmann/business_time
amatsuda/jb
wvanbergen/chunky_png
tomgi/git_stats
zendesk/ruby-kafka
activerecord-hackery/meta_search
openshift/origin-server
drnic/ruby-on-rails-tmbundle
ReactiveX/RxRuby
collectiveidea/json_spec
moneta-rb/moneta
TheOdinProject/theodinproject
enjoiz/XXEinjector
airbnb/nerve
jgorset/facebook-messenger
AdoptOpenJDK/homebrew-openjdk
celluloid/celluloid-io
utgarda/sidekiq-status
FIRHQ/fir-cli
faye/faye-websocket-ruby
jfahrenkrug/WWDC-Downloader
gma/nesta
WhitewidowScanner/whitewidow
peritor/webistrano
rails/jquery-rails
lassebunk/gretel
jeromegn/DocumentUp
mixonic/ranked-model
CocoaPods/cocoapods-packager
bogdan/datagrid
railsbridge/docs
slashsbin/styleguide-git-commit-message
railwaycat/homebrew-emacsmacport
rails-sqlserver/activerecord-sqlserver-adapter
salsify/goldiloader
thuss/standalone-migrations
ryanb/private_pub
RubyCrypto/rbnacl
fdietz/team_dashboard
arbox/nlp-with-ruby
metainspector/metainspector
livingstyleguide/livingstyleguide
harrystech/prelaunchr
airbrake/airbrake
redis-store/redis-rails
ankane/pgsync
cucumber/aruba
brianmario/charlock_holmes
lian/bitcoin-ruby
kzk/unicorn-worker-killer
coderwall/coderwall-legacy
ankane/dexter
cantino/ruby-readability
rails/exception_notification
elastic/cookbook-elasticsearch
codeplant/simple-navigation
dryruby/rack-throttle
documentcloud/cloud-crowd
sotownsend/BooJS
github/graphql-client
Sorcery/sorcery
rtomayko/shotgun
slack-ruby/slack-ruby-client
amatsuda/active_decorator
mhenrixon/sidekiq-unique-jobs
diogob/activerecord-postgres-hstore
janlelis/irbtools
jlong/serve
alexch/rerun
midori-rb/midori.rb
igrigorik/http-2
payolapayments/payola
ryanb/railscasts-episodes
heroku/rails_12factor
be9/acl9
tryshoppe/shoppe
Parallels/vagrant-parallels
meleyal/backbone-on-rails
floere/phony
nats-io/nats.rb
Fullscreen/bh
eliotsykes/real-world-rails
testdouble/standard
coreinfrastructure/best-practices-badge
rack-test/rack-test
rgeo/rgeo
jruby/warbler
newcontext-oss/kitchen-terraform
k0kubun/hamlit
ElevenPaths/Eternalblue-Doublepulsar-Metasploit
FortAwesome/font-awesome-sass
imathis/fancy-buttons
tcocca/acts_as_follower
webmachine/webmachine-ruby
vertiginous/pik
chaps-io/gush
markdownlint/markdownlint
jackdempsey/acts_as_commentable
k0kubun/md2key
xaviershay/enki
mlandauer/cuttlefish
pakyow/pakyow
dmayer/idb
tinfoil/devise-two-factor
ruby-i18n/i18n
dwilkie/carrierwave_direct
fastlane/boarding
thekompanee/fuubar
NARKOZ/gitlab
librariesio/libraries.io
achiurizo/consular
SciRuby/daru
danbooru/danbooru
rastating/wordpress-exploit-framework
matschaffer/knife-solo
somaticio/tensorflow.rb
chefspec/chefspec
zilkey/active_hash
hypriot/image-builder-rpi
goshakkk/nsa_panel
estiens/world_cup_json
Docverter/docverter
ErwinM/acts_as_tenant
orbitalindex/awesome-space
Shopify/semian
gauntlt/gauntlt
heartcombo/mail_form
thoughtbot/cocaine
ankane/ahoy_email
Hackplayers/evil-winrm
rails/sass-rails
rtomayko/rack-cache
jtrupiano/rack-rewrite
arches/table_print
benhoskings/babushka
moll/vim-node
net-ssh/net-ssh
igrigorik/bugspots
marcel/aws-s3
RailsEventStore/rails_event_store
Shopify/active_shipping
fredwu/angel_nest
dcparker/ruby-gmail
documentcloud/docsplit
weppos/breadcrumbs_on_rails
ollypwn/CurveBall
upmin/upmin-admin-ruby
saberma/shopqi
usablica/label.css
hiravgandhi/angularjs-rails
molybdenum-99/reality
danielpclark/faster_path
sevenwire/forgery
peterhellberg/hashids.rb
square/apropos
rubychan/coderay
datamapper/dm-core
github/opensourcefriday
the-teacher/the_role
cavalle/steak
intrigueio/intrigue-core
r8/vagrant-lamp
mkhairi/materialize-sass
composite-primary-keys/composite_primary_keys
ttscoff/Slogger
rubysec/ruby-advisory-db
dchelimsky/rspec-rails
nixme/jazz_hands
Homebrew/homebrew-cask-versions
turnbullpress/dockerbook-code
subwindow/negative-captcha
KKBOX/CompassApp
jhund/filterrific
jjmartres/Zabbix
stripe-ruby-mock/stripe-ruby-mock
andymeneely/squib
asciidoctor/asciidoctor-pdf
ledermann/rails-settings
github/swordfish
rails/activejob
scttnlsn/dandelion
danchoi/vmail
shadabahmed/logstasher
bjeanes/ghost
everzet/capifony
oleander/git-fame-rb
ryanb/railscasts
ileitch/hijack
tobi/clarity
ruby/www.ruby-lang.org
flavorjones/loofah
peterc/pismo
sup-heliotrope/sup
comfy/active_link_to
hexgnu/linkedin
thoughtbot/parity
NUBIC/surveyor
igrigorik/agent
CultivateLabs/storytime
amatsuda/traceroute
makaroni4/sandi_meter
ezmobius/nanite
rodjek/puppet-lint
interagent/pliny
scelis/twine
rafaelfranca/simple_form-bootstrap
dejan/auto_html
ttscoff/doing
fredwu/api_taster
hotsh/rstat.us
