luanfujun/deep-photo-styletransfer
gurkirt/realtime-action-detection
jwyang/JULE.torch
yechengxi/LightNet
baidut/OpenCE
xialeiliu/RankIQA
AtsushiSakai/MATLABRobotics
BIMK/PlatEMO
jasjeetIM/Mask-RCNN
yhyap/machine-learning-coursera
anchen1011/toflow
plotly/plotly-graphing-library-for-matlab
DrCoffey/DeepSqueak
cszn/FFDNet
rieder91/MachineLearning
LTS4/DeepFool
uricamic/flandmark
yrlu/quadrotor
MrGiovanni/ModelsGenesis
ShapeNet/RenderForCNN
xjwhhh/AndrewNgMachineLearning
a-nagrani/VGGVox
Xilinx/HLx_Examples
jngiam/sparseFiltering
zhzhanp/TCDCN-face-alignment
OLPS/OLPS
jiweil/Hierarchical-Neural-Autoencoder
tyshiwo/DRRN_CVPR17
zhunzhong07/IDE-baseline-Market-1501
covarep/covarep
bertinetto/staple
aimerykong/deepImageAestheticsAnalysis
vana77/Market-1501_Attribute
jbhuang0604/CF2
foolwood/DCFNet
uzh-rpg/dslam_open
yalmip/YALMIP
kyunghyuncho/deepmat
aayushbansal/PixelNet
cs-chan/Exclusively-Dark-Image-Dataset
anilbas/3DMMasSTN
VehicleReId/VeRidataset
dch33/Quad-Sim
rodralez/NaveGo
layumi/Image-Text-Embedding
YuanhaoGong/SideWindowFilter
Simon4Yan/Learning-via-Translation
matansel/pix2vertex
gpeyre/matlab-toolboxes
lmthang/nmt.hybrid
joansola/slamtb
liuziwei7/mobile-id
aosokin/cnn_head_detection
eldar/deepcut
banterle/HDR_Toolbox
vlfeat/matconvnet-fcn
xioTechnologies/Oscillatory-Motion-Tracking-With-x-IMU
liuyuisanai/coco_loss
fangq/jsonlab
ChenJoya/Vehicle_Detection_Recognition
fumin/pencil
sergeyk/selective_search_ijcv_with_python
martin-danelljan/Continuous-ConvOp
flatironinstitute/CaImAn-MATLAB
davidvarga/MBeautifier
gidariss/LocNet
talmo/leap
Cloud-CV/object-proposals
aravindhm/deep-goggle
wuhaoran996/openRobotics
csjcai/RealSR
fewtime/ML
filipradenovic/cnnimageretrieval
zqs1022/interpretableCNN
hbilen/dynamic-image-nets
feichtenhofer/st-resnet
Prof-Lu-Cewu/Visual-Relationship-Detection
llp1992/MachineLearning
ThomasYeoLab/CBIG
zhusz/CVPR15-CFSS
masumhabib/PlotPub
optimaltransport/optimaltransport.github.io
vigente/gerardus
tyshiwo/MemNet
huashiyiqike/LSTM-MATLAB
lawlite19/MachineLearningEx
61--/weiyanmin
vedaldi/practical-cnn
khanhnamle1994/neural-nets
kezhang-cs/Video-Summarization-with-LSTM
YahooArchive/Optimal-LSH
brainstorm-tools/brainstorm3
RANSAC/RANSAC-Toolbox
harishrithish7/Fall-Detection
MATPOWER/matpower
sccn/eeglab
yaksoy/AffinityBasedMattingToolbox
shuochsu/DeepVideoDeblurring
candycat1992/PencilDrawing
wanglimin/UntrimmedNet
yuzhou42/MSCKF
ybsong00/CREST-Release
jtkim-kaist/Speech-enhancement
lacerbi/bads
karpathy/Random-Forest-Matlab
LTS4/universal
qizhuli/Weakly-Supervised-Panoptic-Segmentation
opencobra/cobratoolbox
marianux/ecg-kit
covartech/PRT
scott89/FCNT
roimehrez/PIRM2018
goGPS-Project/goGPS_MATLAB
hosang/detection-proposals
hbilen/WSDDN
Zzh-tju/DIoU
wanglimin/MRCNN-Scene-Recognition
sidaw/nbsvm
canyilu/LibADMM
JunaidCS032/MOTBeyondPixels
mtompkins/openAlgo
MatthewPeterKelly/OptimTraj
USNavalResearchLaboratory/TrackerComponentLibrary
alexgo1/Video-Stabilization
amaas/rnn-speech-denoising
Yijunmaverick/Im2Pencil
flyawaychase/3DHumanPose
xiuyechen/FishExplorer
aimerykong/Recurrent-Pixel-Embedding-for-Instance-Grouping
Bihaqo/TensorNet
mattools/matGeom
cvxgrp/proximal
he010103/CFWCR
FraPochetti/ImageTextRecognition
rbgirshick/DeepPyramid
Elyorcv/SAE
ybsong00/Vital_release
zygmuntz/kaggle-blackbox
cvzoya/saliency
cvxr/CVX
dingzeyuli/knn-matting
Mayankm96/Stereo-Odometry-SOFT
lifeng9472/STRCF
anirudhjayaraman/Machine-Learning
worldveil/coursera-ml
JY-112553/machine-learning
jimmy-ren/vcnn_double-bladed
HidekiKawahara/legacy_STRAIGHT
ori-mrg/robotcar-dataset-sdk
ShuaiBai623/MFT
naiq/PN_GAN
HKUST-KnowComp/FMG
singaxiong/SignalGraph
liangzheng06/MARS-evaluation
Aiwiscal/ECG-ML-DL-Algorithm-Matlab
zlotus/Coursera_Machine_Learning_Exercises
yihui-he/panorama
594422814/UDT
loserChen/Coursera-MachineLearning
lucklab/erplab
albertyang33/TADW
oseledets/TT-Toolbox
viggin/domain-adaptation-toolbox
detly/gammatone
markostam/active-noise-cancellation
gidariss/mrcnn-object-detection
waps101/3DMM_edges
utiasSTARS/msckf-swf-comparison
gopaczewski/coursera-ml
bids-standard/bids-starter-kit
tiepvupsu/DICTOL
dlaptev/RobustPCA
OpenOCL/OpenOCL
phoenix104104/cvpr16_deblur_study
AaronX121/Clustering
KuangJuiHsu/DeepCO3
wangxuewen99/Super-Resolution
strawlab/MultiCamSelfCal
mbrossar/FUSION2018
cvxr/TFOCS
happynear/DeepVisualization
FeeLab/seqNMF
Zheng222/IDN-Caffe
cortex-lab/KiloSort
dustinstansbury/medal
PatternRecognition/OpenBMI
hiroyuki-kasai/NMFLibrary
aurooj/Hand-Segmentation-in-the-Wild
baidut/BIMEF
yangyan92/Deep-ADMM-Net
mtex-toolbox/mtex
ankurhanda/sunrgbd-meta-data
lacerbi/optimviz
muhanzhang/DGCNN
ahojnnes/local-feature-evaluation
CovertLab/WholeCell
jianxiongxiao/ProfXkit
zsiciarz/ml-coursera
JzHuai0108/ekfmonoslam
imLogM/Machine_Learning_AndrewNg
wanglimin/TDD
David-Guo/face_recognize
qiuwch/DeepLearning
xinychen/academic-drawing
tntrung/sdm_face_alignment
lmthang/nmt.matlab
xw-hu/DSC
NicolasBoumal/manopt
hpatches/hpatches-benchmark
fernandoandreotti/cinc-challenge2017
google/ffcc
ricedsp/D-AMP_Toolbox
thias15/Context-Aware-CF-Tracking
csjunxu/PolyU-Real-World-Noisy-Images-Dataset
jiayuzhou/MALSAR
charlienash/nricp
urbste/ImprovedOcamCalib
cortex-lab/Suite2P
cerr/CERR
13952522076/CollaborativeFiltering
sun11/sw-sift
hliangzhao/Mathematical-Model-Implementation
faridani/MatlabNLP
CSAILVision/LabelMeToolbox
petercorke/machinevision-toolbox-matlab
emtiyaz/vadam
willard-yuan/CNN-for-Face-Image-Retrieval
hhyyti/dcm-imu
hli1221/imagefusion_deeplearning
ricedsp/rwt
gudbrandtandberg/CPSC540Project
facebookarchive/pose-aligned-deep-networks
meyiao/LaserSLAM
liangzheng06/PRW-baseline
lpj0/MWCNN
1094401996/machine-learning-coursera
UtkarshPathrabe/Machine-Learning-Stanford-University-Coursera
bw1129/PIDtoolbox
bharath272/sds_eccv2014
SheffieldML/GPmat
aayushbansal/MarrRevisited
DynareTeam/dynare
aludnam/MATLAB
TheAlgorithms/MATLAB-Octave
jiajunwu/3dinn
mvansegbroeck/vad
vistalab/vistasoft
tminka/lightspeed
jramshur/HRVAS
gpstuff-dev/gpstuff
zbwglory/MV-release
google/yang_vocoder
LabForComputationalVision/matlabPyrTools
nightrome/matconvnet-calvin
zzlyw/machine-learning-exercises
MouseLand/Kilosort2
ishit/L1Stabilizer
anhncs/Probabilistic-Graphical-Models
ktekeli/audio-steganography-algorithms
liuyuisanai/Quality-Aware-Network
gitlim/SketchTokens
simondlevy/SensorFusion
jacoxu/STC2
shenwei1231/DeepContour
benhamner/Air-Quality-Prediction-Hackathon-Winning-Model
alexandrebarachant/kaggle-seizure-prediction-challenge-2016
HuiZeng/Grid-Anchor-based-Image-Cropping
cpldcpu/RealCandle
RomaTeng/EKF-SLAM-on-Manifold
jaderberg/python-matlab-bridge
fangq/iso2mesh
wenguanwang/DHF1K
wspr/thesis
open-bldc/open-bldc-hardware
Doubaibai/DARE
lmendo/MATL
jorgengrythe/beamforming
benoitvallon/coursera-machine-learning
gaohuang/S-WMD
jotaf98/curveball
zhoupc/CNMF_E
danielfm/edx-learning-from-data
zhanghang1989/ResNet-Matconvnet
yuruntian/L2-Net
cihangxie/DAG
lacerbi/vbmc
trigeorgis/Deep-Semi-NMF
mvallieres/radiomics
donglaiw/mNeuron
vlfeat/autonn
SaveTheRbtz/ml-class
imistyrain/MatConvNet-oneclick
ImperialCollegeLondon/sap-voicebox
raacampbell/shadedErrorBar
mcimpoi/deep-fbanks
dbekaert/StaMPS
gao-ouyang/demo_for_kalmanFilter
GaoBoYu599/Optimization_Algorithm
jdelacroix/simiam
e0404/matRad
jbhuang0604/StructCompletion
Guanghan/GNet-pose
danaberman/non-local-dehazing
csjunxu/MCWNNM-ICCV2017
Eurus-Holmes/Mathematical_Modeling
benhager/solarized-matlab
uavster/Video2HeartRate
ltfat/ltfat
stephencwelch/Perceptual-Coding-In-Python
yuxng/ObjectNet3D_toolbox
XinLiGH/GyroAllan
FRBNY-TimeSeriesAnalysis/Nowcasting
SoonminHwang/rgbt-ped-detection
epfl-lts2/gspbox
ilarinieminen/SOM-Toolbox
scatnet/scatnet
FengZhenhua/Wing-Loss
dkyang/UFLDL-Tutorial-Exercise
JorgeGT/PlotRTL1090
vkosuri/CourseraMachineLearning
DrGabor/LiDAR
1274085042/Sugarcane_borers_detect
OHBA-analysis/HMM-MAR
ihpdep/samf
LyricYang/MIMO_OFDM
DenisTome/DeepPed
emilbjornson/massivemimobook
YimianDai/Image-Processing-Codes-for-Easier-Understanding
s-gupta/rgbd
maxime/ChinaMapDeviation
jiankangdeng/MenpoBenchmark
yuxng/YCB_Video_toolbox
cbm755/octsympy
luoyunan/DTINet
nctoolbox/nctoolbox
deng-haoyang/ParNMPC
drakeguan/cp11fall_project1
zellyn/deeplearning-class-2011
geopavlakos/object3d
rwenqi/GFN-dehazing
lmthang/bivec
zhixy/Laser-Camera-Calibration-Toolbox
IoSR-Surrey/MatlabToolbox
dsoellinger/blind_image_quality_toolbox
ziyuw/rembo
Shuai-Xie/genetic-algorithm
intellhave/SDRSAC
XU-TIANYANG/LADCF
rbgirshick/star-cascade
aresmiki/CS-Recovery-Algorithms
versatran01/graphslam
KamitaniLab/GenericObjectDecoding
kiran-mohan/SLAM-Algorithms-Octave
Doraemonzzz/CS205A-Mathematical-Methods-for-Robotics--Vision--and-Graphics
jayshah19949596/Machine-Learning-Models
ahmetius/diffusion-retrieval
JiaoXianjun/rtl-sdr-LTE
bbci/bbci_public
csn-le/wave_clus
BradNeuberg/hinton-coursera
ShiMengjie/Machine-Learning-Andrew-Ng
mpf/spgl1
yihui-he/3D-reconstruction
geoscience-community-codes/GISMO
yulequan/HeartSeg
jluttine/matlab
jacobeisenstein/SAGE
Daikenan/ASRCF
jaijuneja/ekf-slam-matlab
SheffieldML/deepGP
canlab/CanlabCore
gurkirt/corrected-UCF101-Annots
khanhnamle1994/machine-learning
manur/MATLAB-git
kts/matlab-midi
hongyuXie/MachineLearning
yabata/pyrenn
aeolianine/octave-networks-toolbox
sjtrny/Dark-Channel-Haze-Removal
XinLi-zn/TADT
Qingbao/iris
myriadrf/LimeSDR_Workshop
joncox123/Cortexsys
ArcherFMY/sal_eval_toolbox
wme7/Aero-matlab
vrabaud/sfm_toolbox
zhoubolei/places_devkit
danipascual/GNSS-matlab
epfl-lasa/ML_toolbox
mstorath/Pottslab
Allopart/rbpf-gmapping
Bkmz21/FD-Evaluation
rpng/lips
zhirongw/3DShapeNets
stupidZZ/FCN_Text
konstantinberlin/malware-windows-audit-log-detection
MrGiovanni/Active-Learning
dsmi-lab-ntust/AnomalyDetectionToolbox
csjunxu/TWSC-ECCV2018
blandry/crazyflie-tools
johnyf/openstreetmap
flatironinstitute/NoRMCorre
bernard24/Embarrassingly-simple-ZSL
SheffieldML/vargplvm
michaelchughes/NPBayesHMM
Modi1987/KST-Kuka-Sunrise-Toolbox
shelhamer/visual-pulse-monitor
Computational-Periscopy/Ordinary-Camera
gynnash/AutoEncoder
fordanic/image-registration
xuzhenqi/cnn
alexandrebarachant/covariancetoolbox
VisDrone/VisDrone2018-DET-toolkit
power-grid-lib/pglib-opf
google/RED
morriswmz/doa-tools
kittenish/Image-Shadow-Detection-and-Removal
snsun/cgmm_mvdr
garrickbrazil/SDS-RCNN
sooyekim/Deep-SR-ITM
google/carfac
stephenbeckr/fastRPCA
yang69/MIMO-OFDM-Wireless-Communications-with-MATLAB
StackOverflowMATLABchat/NeuralNetPlayground
JacobD10/SoundZone_Tools
beckel/nilm-eval
akar43/CategoryShapes
alexanderlerch/ACA-Code
bastibe/transplant
peterhcharlton/RRest
gidariss/AttractioNet
sfstoolbox/sfs-matlab
davidkun/HyperSpectralToolbox
MaigoAkisame/VMSep-2010
jmaih/RISE_toolbox
C4IR/FAIR.m
lukeweston/SimpleFMCWRadar
lmb-freiburg/orion
34128806/cluster
norouzi/hdml
albanie/mcnCrossModalEmotions
chengchengzi/Digital-Image-Processing
tomdoel/pulmonarytoolkit
HongtengXu/Hawkes-Process-Toolkit
xwjabc/hed
gpeyre/2015-SIGGRAPH-convolutional-ot
robmaunder/polar-3gpp-matlab
HuiZeng/BIQA_Toolbox
suhangpro/epicflow
polarch/Spherical-Harmonic-Transform
KevinKecc/SRN
frcs/colour-transfer
UCAS-IPA/IPA-discuss
tavildar/Polar
chaoma99/sr-metric
Sohl-Dickstein/Minimum-Probability-Flow-Learning
kakearney/boundedline-pkg
seemoo-lab/mobisys2018_nexmon_channel_state_information_extractor
posenhuang/singingvoiceseparationrpca
chris-taylor/USElection
jizhu1023/DMAN_MOT
shenjianbing/TripletTracking
steven2358/kafbox
ataiya/cloudcontr
ayonga/frost-dev
jhonykaesemodel/image2mesh
andrewssobral/mtt
zlpure/Machine-Learning--Coursera
professormahi/CTF
nasa/PrognosticsAlgorithmLibrary
StevenJL/tdoa_localization
MBB-team/VBA-toolbox
jimmie33/SOD
wenguanwang/deepattention
ayrna/orca
gain2217/Robust_Elastic_Warping
golnazghiasi/LRR
AbdoKamel/simple-camera-pipeline
scott89/KCF
albanie/mcnGroupNorm
Waller-Lab/DiffuserCam
charlesq34/3dmodel_feature
gregkaplan/phact
pulseq/pulseq
brian-lau/MatlabStan
TadasBaltrusaitis/CCNF
ahawker/machine-learning-coursera
christianwengert/calib_toolbox_addon
IVRL/Kernel-Modeling-Super-Resolution
kristinbranson/JAABA
PhDP/mlbop
zzhiwu/LieNet
zouchuhang/3D-PRNN
jiangqy/ADSH-AAAI2018
ikarosilva/wfdb-app-toolbox
gcheron/P-CNN
polarch/Spherical-Array-Processing
weiliu89/detectionAnalysis
jacobeisenstein/DPMM
s7ev3n/MPC_Code
kunhe/FastAP-metric-learning
donnydcy/LC_NGSIM
saurabhme/discriminative-patches
andrewssobral/mctc4bmi
vsubhashini/ica
qMRLab/qMRLab
dengwirda/mesh2d
anilbas/BFMLandmarks
alexandrebarachant/DecMeg2014
n-zhang/part-based-RCNN
LazyFalcon/D_star_PathPlanning
Coldog2333/pytoflow
cortex-lab/allenCCF
pglira/Point_cloud_tools_for_Matlab
olzhas/rrt_toolbox
isaacgerg/matlabHyperspectralToolbox
horverno/sze-academic-robotics-projects
diehl/Incremental-SVM-Learning-in-MATLAB
mattools/matImage
QuantumLiu/matDL
happynear/DeepLearnToolbox
ignacio-rocco/cnngeometric_matconvnet
IRIS-Solutions-Team/IRIS-Toolbox
yalesong/tvsum
twhui/MSG-Net
graytowne/caser
ManyiLi12345/GRAINS
yun-liu/plot-edge-pr-curves
irapkaist/scancontext
lzane/VRP-using-SA-with-Matlab
JianboTang/RNN_MATLAB
junyanz/RealismCNN
quandl/Matlab
lizhitwo/LearningWithoutForgetting
melgharib/DSBD
analogdevicesinc/MathWorks_tools
dannyneil/spiking_relu_conversion
thusiyuan/cooperative_scene_parsing
hangxyz/License-Plate-Recognition-by-MATLAB
jiapingz/shapeDTW
johnyf/fig2u3d
aimerykong/Pixel-Attentional-Gating
dangweili/RAP
ayanc/mdepth
gibbonCode/GIBBON
nasa/PrognosticsModelLibrary
chuhang/HouseCraft
rishirdua/machine-learning-matlab
maziarraissi/HPM
SorourMo/38-Cloud-A-Cloud-Segmentation-Dataset
AaltoML/SDE
rgbitx/image_deblur_code
CoSMoMVPA/CoSMoMVPA
probml/pmtkdata
dculibrk/edge_boxes_with_python
davisvideochallenge/davis-matlab
yangzhen0512/IntelligentOptimizationAlgorithms
ai-med/QuickNATv2
philbooks/Kalman-Filter-for-Beginners
TUMFTM/veh_passenger
radishgiant/ThresholdAndSegment
awerries/kalman-localization
zoharby/plot_google_map
meyiao/ImuFusion
madcowswe/ODriveTopOld
jhoffman/lsda
jonathanlilly/jLab
mobeets/mpm
ahwillia/tensor-demo
GERSL/Fmask
facebookarchive/FBHALE
dazzz/patrec2015
MIT-SPARK/GlobalOptimizationTutorial
mars920314/DeepFi
JasonSWFu/MetricGAN
Naplib/Naplib
textmate/matlab.tmbundle
dbekaert/TRAIN
rafavzqz/geopdes
NEU-Gou/kernel-metric-learning-reid
adnanmunawar/matlab-rrt-variants
jiangqy/DCMH-CVPR2017
sqlp/sdpt3
PetterS/patch-inpainting
graphviz4matlab/graphviz4matlab
KirillLykov/cvision-algorithms
DrosteEffect/BrewerMap
automaticanalysis/automaticanalysis
HasanShaukat/StudyMaterials
Mericam/exposure-fusion
hiroyuki-kasai/ClassifierToolbox
Franck-Dernoncourt/Coursera-Machine-Learning-Fall2013-4thEd-AndrewNg
Fusion-Goettingen/ExtendedObjectTracking
zqs1022/explanatoryGraph
horchler/SDETools
andreas-bulling/ActRecTut
yongxuUSTC/DNN-Speech-enhancement-demo-tool
decouples/Matlab_deep_learning
biopatrec/biopatrec
justdark/matlab_code-ufldl-exercise-
leoliuf/MRiLab
neurodebian/spm12
ShelsonCao/GraRep
lintingbin2009/machine-learning-ex
m-r-s/hearingaid-prototype
garethjns/Kaggle-EEG
isetbio/isetbio
balcilar/DenseDepthMap
ubcmatlabguide/ubcmatlabguide.github.io
TianfaYao/ADRC
rvlasveld/oc_svm
andersonwinkler/PALM
slayton/matlab-xkcdify
avisingh599/vo-howard08
wuancong/SYSU-MM01
goodshawn12/REST
sinhayan/surfnet
drewabbot/kaggle-seizure-prediction
flyers/drone-tracking
ronw/matlab_htk
mangye16/dgm_re-id
rdeits/iris-distro
anibali/eval-mpii-pose
cdebacco/SpringRank
bmcfee/mlr
hanley6/IMUSensorModels
fmcp/EndToEndIncrementalLearning
tobycollins/IPPE
LIANGQINGYUAN/FBP
varunnr/camera_and_pose
gingsmith/fmtl
vlfeat/vlbenchmarks
Conclusio/matlab-epsclean
gregfreeman/image_quality_toolbox
ebrevdo/synchrosqueezing
sidaw/fastdropout
thomas-koehler/SupER
ZitengWang/MASP
eric-guerin/terrain-amplification
kirk86/ImageRetrieval
stabix/stabix
stephenbeckr/SparsifiedKMeans
johannesgerer/jburkardt-m
jwyang/Person-Specific-FAS
HajimeTaira/InLoc_demo
CyC2018/ECG-Classifier
avenix/WDK
shuaijiang/STRAIGHT
ZacharyTaylor/Camera-to-Arm-Calibration
jfaghm/OceanEddies
wangzheallen/vsad
danmcduff/iphys-toolbox
ashumeow/Computational-NeuroScience
probml/pmtksupport
bastibe/Violinplot-Matlab
RobertKrajewski/highD-dataset
LilianYe/Andrew-Ng-Machine-Learning-Programming-solutions-
symao/minimum_snap_trajectory_generation
daniilidis-group/event_feature_tracking
avehtari/BDA_m_demos
norouzi/ckmeans
MultiDIC/MultiDIC
MouseLand/stringer-pachitariu-et-al-2018b
rordenlab/spmScripts
jnkather/MSIfromHE
microsoft/OTP4LTE-U
psexton/matlab-xunit
yuhuayc/fast-vos
ajinkya-khade/ACC_Vehicle_MPC
grinsted/wavelet-coherence
baptistar/BOCS
sbreuers/detta
qiuqiangkong/matlab-hmm
mganjoo/zslearning
pfoser/mapconstruction
emilbjornson/optimal-beamforming
GYZHikari/Semantic-Cosegmentation
vvanirudh/IRL-Toolkit
thunlp/TADW
hahnpv/SoftGNSS
cvjena/part_constellation_models
WaterlooRobotics/mobilerobotics
pckben/vad
nickabattista/IB2d
pillowlab/GLMspiketraintutorial
honglaklee/convDBN
chongyangtao/Color-Image-Inpainting
HengLan/LaSOT_Evaluation_Toolkit
jmiseikis/RobotNavigation
wang-chen/KCC
PrincetonUniversity/princeton-mvpa-toolbox
VisLab/EEG-Clean-Tools
epfl-lasa/icra-lfd-tutorial
fangfufu/Matlab-Data-Video-Converter
MOxUnit/MOxUnit
ikuwow/PatchMatch
wichmann-lab/psignifit
GenLouvain/GenLouvain
simulkade/FVTool
nik1106/MNA-MAT
micheletufano/AutoenCODE
amoudgl/mosse-tracker
wsshin/maxwellfdfd
martinli0822/Low-light-image-enhancement
endernewton/subdiscover
zzangjinsun/DHDE_CVPR17
msavva/ReVision
chrisconlon/blp-demand
uzh-rpg/rpg_image_reconstruction_from_events
gafiatulin/ml-class
justinblaber/ncorr_2D_matlab
JiawangBian/FM-Bench
Apress/matlab-machine-learning
cvlab-epfl/balltracking
LirongWu/Image_Tracking
asheshjain399/ICCV2015_Brain4Cars
yuxianghao/Alternating-minimization-algorithms-for-hybrid-precoding-in-millimeter-wave-MIMO-systems
daniilidis-group/monocap
gordonberman/MotionMapper
mingzhang-yin/SIVI
eurika-kaiser/SINDY-MPC
gpeyre/2016-ICML-gromov-wasserstein
ngageoint/MATLAB_SAR
Swizec/ml-class-homework
iorism/CNN
PrincetonML/SemanticVector
ShelsonCao/DNGR
kimjingu/nonnegfac-matlab
OpenWaterAnalytics/EPANET-Matlab-Toolkit
nchinaev/MobileFace
kunhe/TALR
ravenxrz/Mathematical-Modeling
mhaghighat/gabor
trane293/DDSMUtility
zenghf/NMRTool
akanazawa/catdeform
xiaomangui/LBP-DBN-face-recognition
ttomita/RandomerForest
d-kitamura/ILRMA
Y1ran/Machine-Learning-Coursera-code
ignaciorlando/red-lesion-detection
MIT-LCP/critical-data-book
rbgirshick/dp-dpm
lijiannuist/Vote3Deep_lidar
urbste/MLPnP_matlab_toolbox
jmmanley/VGG-Multiple-View-Geometry
olivierlar/miningsuite
taoshiqian/image_SDR_to_HDR
dnuffer/dpcode
iqbalu/3D_Pose_Estimation_CVPR2016
brendenlake/structural-sparsity
helibenhamu/multichart3dgans
lawrennd/mocap
Data2Dynamics/d2d
eliduenisch/latexTable
idsc-frazzoli/retina
MaoXu/Joint_Bayesian
mtli/BFFL
lostanlen/scattering.m
APMonitor/arduino
mpf/spot
yeatmanlab/AFQ
UtkarshPathrabe/Image-and-Video-Processing--From-Mars-to-Hollywood-with-a-stop-at-the-Hospital--Duke-University
ivalab/grasp_multiObject
noureldien/FingerprintRecognition
xyang35/BurstImageDenoising
WEC-Sim/WEC-Sim
sparse-depth-sensing/sparse-depth-sensing
YaqiLYU/AANAP
roseperrone/character-detector
NMID-CQUPT/CLF-CQPUT
HiroIshida/robust-tube-mpc
OshriHalimi/unsupervised_learning_of_dense_shape_correspondence
ayanc/ndeblur
yaoliUoA/MDPM
libDirectional/libDirectional
thomaskuestner/CS_MoCo_LAB
mbudisic/koopman
bearpaw/eval_pose
emreozanalkan/RRT
jacoxu/StackOverflow
vitorsr/SIHR
pujols/Zero-shot-learning-journal
bcsiriuschen/CARC
DynaSim/DynaSim
yechengxi/LightCapsNet
openfisca/calculette-impots-m-source-code
coldmanck/Scene-recognition-with-bag-of-words
rpng/ocekf-slam
sunzuolei/astar_dijkstra_rrt
ruins/offline-narrative
NOCIONS/letswave6
RobotLocomotion/LittleDog
XiaoxiangGao/Dual_Channel_Beamformer_and_Postfilter
pengsun/MatlabCNN
alexgkendall/OPTICS_Clustering
zhenglab/IQA
SysBioChalmers/RAVEN
CrazyStoneonRoad/TGRS-HRRSD-Dataset
layumi/visualize_matconvnet
jflalonde/illuminationSingleImage
playerkk/drfi_matlab
randvoorhies/SimpleSLAM
oxfordcontrol/CDCS
Palang2014/Distributed-Compressive-Sensing-A-Deep-Learning-Approach
spm/spm12
DefuLian/recsys
owang/PhaseBasedInterpolation
petercorke/toolbox-common-matlab
FacePlusPlus/facepp-matlab-sdk
RenderToolbox/RenderToolbox4
vcg-uvic/TILDE
davidstutz/matlab-mnist-two-layer-perceptron
buzsakilab/buzcode
kirk86/wateramarking
lvchengfei/Learn-Objective-C-
caomw/matlab-forensics
CHLNDDEV/OceanMesh2D
scott89/STCT
yifita/action.sr_cnn
tomgoldstein/phasepack-matlab
sunghbae/dcgan-matconvnet
robince/gcmi
twerdster/HandNet
aghodrati/deepproposal
Meelfy/FEM
cognav/NeuroSLAM
sofacoustics/API_MO
ChunyuanLI/spectral_descriptors
MITComputationalCamera/LightFields
linteresa/WiAR
gerald-lindsly/mongo-matlab-driver
junli-lj/Grass
DC9ST/tdoa-evaluation-rtlsdr
TomHeaven/Joint-Demosaic-and-Denoising-with-ADMM
pengsun/MexConv3D
JiamingMai/Color-Attenuation-Prior-Dehazing
