laravel/laravel
michelf/php-markdown
owner888/phpspider
symfony/flex
hybridauth/hybridauth
Xethron/migrations-generator
moneyphp/money
fex-team/fis
pyrocms/pyrocms
Ocramius/PackageVersions
defuse/php-encryption
spatie/laravel-activitylog
bobthecow/mustache.php
wp-bootstrap/wp-bootstrap-navwalker
box/spout
bshaffer/oauth2-server-php
symfony/yaml
booksbyus/zguide
swooletw/laravel-swoole
symfony/dependency-injection
Crinsane/LaravelShoppingcart
symfony/config
symfony/dom-crawler
phalcon/zephir
jokkedk/webgrind
top-think/thinkphp
moodle/moodle
olefredrik/FoundationPress
vimeo/psalm
beyondcode/laravel-websockets
cviebrock/eloquent-sluggable
scotch-io/scotch-box
Attendize/Attendize
doctrine/DoctrineMigrationsBundle
symfony/cache
facebookarchive/php-graph-sdk
EasyCorp/EasyAdminBundle
corcel/corcel
InfyOmLabs/laravel-generator
cytopia/devilbox
mrclay/minify
splitbrain/dokuwiki
rocketeers/rocketeer
google/recaptcha
justinrainbow/json-schema
thephpleague/oauth2-client
nWidart/laravel-modules
doctrine/DoctrineCacheBundle
akaunting/akaunting
hhxsv5/laravel-s
Codiad/Codiad
ThingEngineer/PHP-MySQLi-Database-Class
itsgoingd/clockwork
mailcow/mailcow-dockerized
Audi-1/sqli-labs
ZoneMinder/zoneminder
rectorphp/rector
MISP/MISP
phptodayorg/php-must-watch
jcc/blog
amphp/amp
sensiolabs/SensioFrameworkExtraBundle
endroid/qr-code
symfony/dotenv
gitscrum-ce/laravel-gitscrum
ralouphie/getallheaders
mpdf/mpdf
BootstrapCMS/CMS
klein/klein.php
phpDocumentor/phpDocumentor
mpociot/laravel-apidoc-generator
erikdubbelboer/phpRedisAdmin
php-curl-class/php-curl-class
afragen/github-updater
spatie/browsershot
stripe/stripe-php
causefx/Organizr
symfony/framework-bundle
pfsense/pfsense
dancryer/PHPCI
phacility/xhprof
FriendsOfSymfony/FOSRestBundle
overtrue/laravel-wechat
thephpleague/csv
lucadegasperi/oauth2-server-laravel
bytefury/crater
laravel/passport
CMB2/CMB2
danielstjules/Stringy
composer/ca-bundle
codeigniter4/CodeIgniter4
cocur/slugify
doctrine/reflection
kint-php/kint
doctrine/persistence
WPO-Foundation/webpagetest
paragonie/paseto
mcamara/laravel-localization
ampache/ampache
bcosca/fatfree
JosephSilber/bouncer
tecnickcom/TCPDF
consolidation/Robo
laracasts/flash
mevdschee/php-crud-api
composer/satis
symfony/maker-bundle
30-seconds/30-seconds-of-php
lazychaser/laravel-nestedset
rap2hpoutre/laravel-log-viewer
KnpLabs/Gaufrette
silexphp/Pimple
laracasts/Laravel-5-Generators-Extended
aimeos/aimeos-laravel
symfony/options-resolver
php/php-langspec
davejamesmiller/laravel-breadcrumbs
antonioribeiro/tracker
leafo/lessphp
hyperf/hyperf
livewire/livewire
Tencent/tsf
VerbalExpressions/PHPVerbalExpressions
mikecao/flight
benedmunds/CodeIgniter-Ion-Auth
symfony/doctrine-bridge
versionpress/versionpress
borisrepl/boris
serghey-rodin/vesta
cnvs/canvas
composer/semver
matyhtf/framework
gabrielrcouto/php-gui
ircmaxell/password_compat
spatie/laravel-query-builder
laravel-zero/laravel-zero
bagisto/bagisto
zyx0814/dzzoffice
symfony/asset
vanilla/vanilla
wp-graphql/wp-graphql
PrivateBin/PrivateBin
gharlan/alfred-github-workflow
RSS-Bridge/rss-bridge
spatie/laravel-analytics
Vuedo/vuedo
etrepat/baum
apiato/apiato
php-telegram-bot/core
panique/huge
nelmio/alice
symfony/inflector
drush-ops/drush
TIGERB/easy-tips
top-think/framework
symfony/monolog-bundle
gabordemooij/redbean
pixelfed/pixelfed
FriendsOfPHP/Sami
cretueusebiu/laravel-vue-spa
FreshRSS/FreshRSS
soruly/trace.moe
overtrue/easy-sms
laracasts/PHP-Vars-To-Js-Transformer
craftcms/cms
helei112g/payment
EasyCorp/easy-log-handler
symfony/polyfill-intl-idn
PHPSocialNetwork/phpfastcache
symfony/contracts
ruflin/Elastica
summerblue/laravel-shop
ApiGen/ApiGen
symfony/browser-kit
LavaLite/cms
VentureCraft/revisionable
teamtnt/tntsearch
summerblue/phphub5
j4mie/idiorm
symfony/panther
illuminate/database
FrozenNode/Laravel-Administrator
dimsav/laravel-translatable
symfony/stopwatch
slimkit/plus
beberlei/assert
paypal/PayPal-PHP-SDK
ConsoleTVs/Charts
phpmetrics/PhpMetrics
hwi/HWIOAuthBundle
jae-jae/QueryList
salesagility/SuiteCRM
sebastianbergmann/phploc
php-http/httplug
billz/raspap-webgui
xdebug/xdebug
thephpleague/glide
symfony/property-access
sonata-project/SonataAdminBundle
sebastianbergmann/phpcpd
symfony/form
nunomaduro/larastan
symfony/expression-language
bartblaze/PHP-backdoors
astralapp/astral
symfony/validator
doctrine/data-fixtures
summerblue/phphub
sensiolabs/security-checker
cmgmyr/laravel-messenger
symfony/polyfill-intl-icu
tenancy/multi-tenant
jeroennoten/Laravel-AdminLTE
wikimedia/mediawiki
PHP-DI/PHP-DI
SSilence/selfoss
thiagoalessio/tesseract-ocr-for-php
schmittjoh/php-option
symfony/intl
area17/twill
drewm/mailchimp-api
nelmio/NelmioApiDocBundle
html5blank/html5blank
schmittjoh/serializer
symfony/twig-bridge
ezyang/htmlpurifier
folkloreinc/laravel-graphql
spatie/dashboard.spatie.be
SimpleRegex/SRL-PHP
osTicket/osTicket
WebDevStudios/Custom-Metaboxes-and-Fields-for-WordPress
WordPress/WordPress-Coding-Standards
symfony/twig-bundle
symfony/monolog-bridge
orangetw/My-CTF-Web-Challenges
hprose/hprose-php
kriswallsmith/Buzz
librenms/librenms
reactphp/promise
symfony/demo
acacha/adminlte-laravel
opensourcepos/opensourcepos
laravel/cashier
pinguo/php-msf
c0ny1/upload-labs
symfony/phpunit-bridge
Dolibarr/dolibarr
nicolaslopezj/searchable
lincanbin/Carbon-Forum
markjaquith/WordPress-Skeleton
artesaos/seotools
J7mbo/twitter-api-php
pmmp/PocketMine-MP
maicong/music
orangehill/iseed
owen-it/laravel-auditing
ARCANEDEV/LogViewer
zendframework/zend-code
xtr4nge/FruityWifi
symfony/symfony-docs
pimcore/pimcore
pheanstalk/pheanstalk
renatomarinho/laravel-page-speed
symfony/security-bundle
hugues-m/phpunit-vw
jadjoubran/laravel5-angular-material-starter
composer/xdebug-handler
laravel/valet
phpspec/phpspec
lexik/LexikJWTAuthenticationBundle
PHPGangsta/GoogleAuthenticator
adamfisk/LittleProxy
zendframework/zend-eventmanager
EasyEngine/easyengine
walkor/phpsocket.io
nategood/httpful
opis/closure
phpmd/phpmd
barryvdh/laravel-snappy
jenssegers/date
php-enqueue/enqueue-dev
LinkedDestiny/swoole-doc
opauth/opauth
postaddictme/instagram-php-scraper
doctrine/DoctrineFixturesBundle
KnpLabs/php-github-api
matyhtf/webim
Imangazaliev/DiDOM
symfony/serializer
pterodactyl/panel
symfony/event-dispatcher-contracts
nuwave/lighthouse
jeremeamia/super_closure
php-school/cli-menu
lstrojny/functional-php
smarty-php/smarty
sabre-io/Baikal
matomo-org/device-detector
WhatCD/Gazelle
johnroper100/dropplets
brandonsavage/Upload
laravelio/laravel.io
mewebstudio/captcha
baijunyao/thinkphp-bjyadmin
cartalyst/sentry
paquettg/php-html-parser
kohana/kohana
serverless/components
linuxserver/Heimdall
kitetail/zttp
glpi-project/glpi
thephpleague/climate
InvoicePlane/InvoicePlane
maxmind/GeoIP2-php
brefphp/bref
zendframework/ZendSkeletonApplication
whiteoctober/Pagerfanta
delight-im/FreeGeoDB
walkor/workerman-todpole
changeweb/Unifiedtransform
php-fig/link-util
TGMPA/TGM-Plugin-Activation
zendframework/zend-diactoros
php-fig/link
stof/StofDoctrineExtensionsBundle
ccoenraets/backbone-directory
Qsnh/meedu
spatie/laravel-fractal
orchidsoftware/platform
irazasyed/telegram-bot-sdk
oscarotero/Embed
symfony/debug-bundle
symfony/symfony-standard
sstalle/php7cc
Torann/laravel-geoip
phpservermon/phpservermon
ampproject/amp-wp
spatie/image-optimizer
microweber/microweber
webpatser/laravel-uuid
reduxframework/redux-framework
Payum/Payum
kakserpom/phpdaemon
thecodingmachine/safe
saleem-hadad/larecipe
unicodeveloper/laravel-hackathon-starter
Tencent/Biny
symfony/swiftmailer-bundle
themeskult/wp-svbtle
WhichBrowser/Parser-PHP
esotalk/esoTalk
jenssegers/imagehash
api-platform/core
schmittjoh/JMSSerializerBundle
Pomax/BezierInfo-2
beberlei/DoctrineExtensions
myclabs/php-enum
backup-manager/backup-manager
laravel/dusk
arnabwahid/wordpress-bootstrap
namshi/jose
Behat/Transliterator
MPOS/php-mpos
simplebits/Pears
twigphp/Twig-extensions
spatie/crawler
kristijanhusak/laravel-form-builder
tightenco/jigsaw
hightman/scws
elliotcondon/acf
s4n7h0/xvwa
fuel/fuel
psecio/iniscan
vinkla/laravel-hashids
ci-bonfire/Bonfire
youzan/zanphp
coduo/php-humanizer
santigarcor/laratrust
lixuancn/LaneWeChat
antonioribeiro/health
symfony/mime
JohnTroony/php-webshells
markrogoyski/math-php
PeeHaa/OpCacheGUI
matthiasmullie/minify
userfrosting/UserFrosting
yiisoft/yii2-app-advanced
facade/ignition
SwooleDistributed/SwooleDistributed
JosephLenton/PHP-Error
rashidlaasri/LaravelInstaller
minkphp/Mink
gabrielrcouto/php-terminal-gameboy-emulator
rlerdorf/opcache-status
php-pds/skeleton
laravel/airlock
laravel-ardent/ardent
drupal-composer/drupal-project
immobiliare/ApnsPHP
ganlvtech/down_52pojie_cn
ReactiveX/RxPHP
Kunena/Kunena-Forum
thephpleague/commonmark
Chevereto/Chevereto-Free
leafo/scssphp
dustin10/VichUploaderBundle
thephpleague/skeleton
cosenary/Instagram-PHP-API
netz98/n98-magerun
goaop/framework
spatie/laravel-responsecache
Elgg/Elgg
neitanod/forceutf8
mix-php/mix
mike42/escpos-php
composer/packagist
sculpin/sculpin
openmediavault/openmediavault
leokhoa/laragon
openstreetmap/Nominatim
PHPCompatibility/PHPCompatibility
symfony/polyfill-php73
atoum/atoum
simplepie/simplepie
banago/PHPloy
FriendsOfPHP/security-advisories
wensonsmith/YoudaoTranslate
yii2-starter-kit/yii2-starter-kit
orchestral/testbench
getsentry/sentry-php
jpfuentes2/php-activerecord
symfony/polyfill-php56
ccampbell/chromephp
reactjs/react-php-v8js
welaika/wordless
php-http/promise
eyecatchup/SEOstats
weprovide/valet-plus
symfony/property-info
symfony/polyfill-util
jonnnnyw/php-phantomjs
SimpleSoftwareIO/simple-qrcode
nette/nette
symfony/polyfill-iconv
phpbb/phpbb
antonioribeiro/countries
Qoraiche/laravel-mail-editor
liip/LiipImagineBundle
YahnisElsts/plugin-update-checker
mattstauffer/Torch
UniSharp/laravel-filemanager
broadway/broadway
microsoft/msphpsql
duckchat/gaga
louislivi/SMProxy
cdevroe/unmark
prasathmani/tinyfilemanager
honraytech/VueThink
cartalyst/sentinel
barbushin/php-console
paratestphp/paratest
mhoofman/wordpress-heroku
formers/former
You2php/delete
hightman/xunsearch
Propaganistas/Laravel-Phone
schmittjoh/metadata
tightenco/collect
nahid/talk
laravel/envoy
hui-ho/WebStack-Laravel
spatie/async
laravolt/avatar
GeneaLabs/laravel-model-caching
panique/mini
passbolt/passbolt_api
mikehaertl/phpwkhtmltopdf
symfony/web-server-bundle
vlucas/valitron
mewebstudio/Purifier
smalot/pdfparser
mongodb/mongo-php-library
FriendsOfSymfony/FOSJsRoutingBundle
rinvex/countries
nilsteampassnet/TeamPass
stefanzweifel/laravel-stats
aws/aws-sdk-php-laravel
jmespath/jmespath.php
symfony/translation-contracts
LiveHelperChat/livehelperchat
pipe-dream/laravel-create
Zizaco/confide
PhenX/php-font-lib
helloxz/imgurl
KnpLabs/KnpPaginatorBundle
Vtrois/Kratos
iamcal/php-emoji
nelmio/NelmioCorsBundle
thephpleague/event
PocketMine/PocketMine-MP
sabberworm/PHP-CSS-Parser
bovigo/vfsStream
m9rco/algorithm-php
zorlan/skycaiji
composer/installers
Gregwar/Captcha
q2a/question2answer
mjaschen/phpgeo
phpipam/phpipam
mantisbt/mantisbt
symfony/service-contracts
anhskohbo/no-captcha
box-project/box2
weiboad/kafka-php
FriendsOfPHP/pickle
rlerdorf/php7dev
humanmade/S3-Uploads
container-interop/container-interop
davibennun/laravel-push-notification
wordplate/wordplate
openemr/openemr
beyondcode/laravel-er-diagram-generator
romanbican/roles
barryvdh/laravel-translation-manager
Kong/unirest-php
symfony/var-exporter
beyondcode/laravel-dump-server
symfony/security
alextselegidis/easyappointments
nette/tracy
voten-co/voten
mikeerickson/phpunit-pretty-result-printer
slimphp/Slim-Skeleton
modxcms/revolution
Tuhinshubhra/RED_HAWK
icecoder/ICEcoder
twilio/twilio-php
php-http/guzzle6-adapter
brianhaveri/Underscore.php
Automattic/jetpack
humbug/humbug
anandkunal/ToroPHP
lucb1e/cookielesscookies
opnsense/core
Yoast/wordpress-seo
icicleio/icicle
mashirozx/Sakura
mvdbos/php-spider
komarserjio/notejam
rebing/graphql-laravel
Bottelet/flarepoint-crm
fossasia/phimpme-drupal
fossasia/phimpme-wordpress
WangNingkai/OLAINDEX
fossasia/fossasia11-drupal
barbushin/php-imap
lavary/crunz
JayBizzle/Crawler-Detect
KnpLabs/KnpMenuBundle
fossasia/fossasia10-drupal
mk-j/PHP_XLSXWriter
maknz/slack
markjaquith/WP-Stack
fossasia/feed.api.fossasia.net
laravel/lumen-framework
florianv/swap
spatie/laravel-newsletter
fossasia/loklak_wp_plugins
jvoisin/php-malware-finder
darumen/laravel-sitemap
yohang/Finite
infection/infection
zhanghuanchong/icon-workshop
fossasia/wp-tweet-feed-plugin
fossasia/wp-accesspress-twitter-feed
kreait/firebase-php
sendgrid/sendgrid-php
danog/MadelineProto
DarkaOnLine/L5-Swagger
Froxlor/Froxlor
UnionOfRAD/lithium
symfony/class-loader
antonioribeiro/google2fa
appzcoder/crud-generator
chakhsu/pinghsu
fossasia/wp-ai-twitter-feeds
fossasia/wp-recent-tweet
shopware/shopware
sensiolabs-de/deptrac
fossasia/wp-dev-buddy
phpsysinfo/phpsysinfo
cweiske/jsonmapper
fossasia/wp-easy-twitter-plugin
fossasia/wp-twidget
antonioribeiro/firewall
fossasia/2009.fossasia.org
kraken-php/framework
fossasia/wp-twitter-feeds
fossasia/wp-juiz-last-tweet-widget
fossasia/wp-rotatingtweets
thephpleague/html-to-markdown
Ph3nol/NotificationPusher
SegmentFault/HyperDown
codestudiohq/laravel-totem
mongodb/mongo-php-driver-legacy
aristath/kirki
propelorm/Propel2
francescomalatesta/laravel-api-boilerplate-jwt
php-amqplib/RabbitMqBundle
Anahkiasen/underscore-php
willdurand/Negotiation
murtaugh/HTML5-Reset-WordPress-Theme
HDInnovations/UNIT3D-Community-Edition
kasperisager/php-dockerized
Enclavely/tailor
Wisembly/elephant.io
tonik/theme
sebastianfeldmann/phpbu
bernardphp/bernard
forkcms/forkcms
Laracommerce/laracom
claviska/SimpleImage
KnpLabs/KnpMenu
FriendsOfSymfony/FOSElasticaBundle
Herzult/SimplePHPEasyPlus
luofei614/SocketLog
thephpleague/plates
cobub/razor
composer/spdx-licenses
thephpleague/geotools
dmstr/yii2-adminlte-asset
Lusitanian/PHPoAuthLib
beyondcode/laravel-self-diagnosis
Indatus/dispatcher
TobiaszCudnik/phpquery
brandonwamboldt/utilphp
Tai7sy/card-system
web-push-libs/web-push-php
kolber/stacey
elasticquent/Elasticquent
jamierumbelow/codeigniter-base-model
Seldaek/jsonlint
cakephp/chronos
