tensorflow/tensorflow
cvxgrp/cvxpy
Tencent/phxsql
ivansafrin/Polycode
slic3r/Slic3r
audiorouterdev/audio-router
diasurgical/devilutionX
endless-sky/endless-sky
onqtam/doctest
WebAssembly/wabt
farbrausch/fr_public
sebastianstarke/AI4Animation
MFatihMAR/Game-Networking-Resources
wang-bin/QtAV
google/bloaty
PixarAnimationStudios/OpenSubdiv
cquery-project/cquery
wesm/feather
argman/EAST
typesense/typesense
AtomicGameEngine/AtomicGameEngine
ketoo/NoahGameFrame
cloudera/Impala
yue/yue
arvidn/libtorrent
XProger/OpenLara
USCiLab/cereal
PixarAnimationStudios/USD
oatpp/oatpp
actor-framework/actor-framework
OpenTTD/OpenTTD
amzeratul/halley
mbasso/asm-dom
codebutler/firesheep
crosswalk-project/crosswalk
TheCherno/Hazel
wjakob/instant-meshes
HKUST-Aerial-Robotics/VINS-Mono
maestron/botnets
lynckia/licode
libigl/libigl
Kitt-AI/snowboy
microsoft/verona
weidai11/cryptopp
LordNoteworthy/al-khaser
DarthTon/Blackbone
lloyd/node-memwatch
kripken/ammo.js
dogecoin/dogecoin
omnisci/omniscidb
MailCore/mailcore2
audreyt/node-webworker-threads
NVIDIAGameWorks/PhysX-3.4
chriskohlhoff/asio
rainmeter/rainmeter
openthread/openthread
Qihoo360/evpp
microsoft/bond
mhammond/pywin32
Kobzol/hardware-effects
yhirose/cpp-httplib
google/earthenterprise
homenc/HElib
asmjit/asmjit
gnuradio/gnuradio
microsoft/ELL
zeux/pugixml
pezy/CppPrimer
uncrustify/uncrustify
CppCon/CppCon2014
xdspacelab/openvslam
baidu/Familia
KDE/krita
jolibrain/deepdetect
xoseperez/espurna
panda3d/panda3d
letscontrolit/ESPEasy
acidanthera/Lilu
koth/kcws
terralang/terra
pytorch/glow
alibaba/euler
ROCm-Developer-Tools/HIP
deepmind/open_spiel
dropbox/json11
facebook/Surround360
PowerDNS/pdns
ReactiveX/RxCpp
nem0/LumixEngine
4ian/GDevelop
seenaburns/dex-ui
acidanthera/AppleALC
runner365/LiveVideoCoreSDK
eidheim/Simple-Web-Server
NVIDIA/TensorRT
facebookresearch/ELF
OTTO-project/OTTO
nodeful/eqMac2
apache/singa
pgmodeler/pgmodeler
ThePhD/sol2
yyzybb537/libgo
ValveSoftware/ToGL
ChaiScript/ChaiScript
tum-vision/lsd_slam
adafruit/Adafruit_NeoPixel
wheybags/freeablo
baidu/braft
gioblu/PJON
microsoft/onnxruntime
The-Powder-Toy/The-Powder-Toy
HackerPoet/MarbleMarcher
googlecreativelab/open-nsynth-super
WeAreROLI/JUCE
baidu/sofa-pbrpc
runtimejs/runtime
prusa3d/PrusaSlicer
intel/tbb
Y-Vladimir/SmartDeblur
jbeder/yaml-cpp
iagox86/dnscat2
facebook/fbthrift
WrBug/dumpDex
johang/btfs
neutralinojs/neutralinojs
spring/spring
msgpack/msgpack-c
cztomczak/cefpython
oktal/pistache
ssloy/tinykaboom
jwise/HoRNDIS
liuchuo/PAT
TigerVNC/tigervnc
lballabio/QuantLib
clangen/musikcube
nmslib/nmslib
intel/mkl-dnn
microsoft/Detours
steemit/steem
baidu/AnyQ
jarulraj/sqlcheck
apitrace/apitrace
google/sling
google/oboe
facebook/xcbuild
gibsjose/cpp-cheat-sheet
selfboot/CS_Offer
aoapc-book/aoapc-bac2nd
facebook/mysql-5.6
HuTianQi/SmartOpenCV
parro-it/libui-node
floooh/oryol
miguelbalboa/rfid
xtensor-stack/xtensor
CGAL/cgal
Qihoo360/QConf
vcmi/vcmi
Tencent/phxqueue
facebookincubator/spectrum
ctubio/Krypto-trading-bot
ValveSoftware/halflife
wereturtle/ghostwriter
jarro2783/cxxopts
NVIDIAGameWorks/kaolin
baidu/tera
Stellarium/stellarium
include-what-you-use/include-what-you-use
vczh-libraries/GacUI
taurusai/kungfu
tjanczuk/iisnode
cmu-db/peloton
fritzing/fritzing-app
mkeeter/antimony
hzeller/rpi-rgb-led-matrix
openscenegraph/OpenSceneGraph
tinyobjloader/tinyobjloader
opengl-tutorials/ogl
lief-project/LIEF
matt-42/silicon
twitter-forks/mysql
Subsurface-divelog/subsurface
znc/znc
milostosic/MTuner
cocos2d/cocos2d-js
LongSoft/UEFITool
HowardHinnant/date
gflags/gflags
facebookincubator/LogDevice
OSGeo/gdal
LibreCAD/LibreCAD
clasp-developers/clasp
ConfettiFX/The-Forge
simongog/sdsl-lite
yanyiwu/cppjieba
rubyjs/therubyracer
huaxz1986/cplusplus-_Implementation_Of_Introduction_to_Algorithms
MaskRay/ccls
charto/nbind
maciejczyzewski/libchaos
CppCon/CppCon2016
ChenglongChen/Kaggle_CrowdFlower
dmlc/nnvm
cameron314/readerwriterqueue
CppCon/CppCon2015
Kurento/kurento-media-server
lava/matplotlib-cpp
leanprover/lean
turanszkij/WickedEngine
Grive/grive
facebookresearch/TensorComprehensions
alecthomas/entityx
helio-fm/helio-workstation
joeferner/node-java
GarageGames/Torque2D
microsoft/SEAL
ue4plugins/StreetMap
ckb-next/ckb-next
Andersbakken/rtags
zeux/meshoptimizer
sphinxsearch/sphinx
bruderstein/nppPluginManager
raboof/nethogs
jmpews/Dobby
tqchen/tinyflow
acidanthera/WhateverGreen
srsLTE/srsLTE
google/butteraugli
tomlooman/EpicSurvivalGameSeries
google/angle
1technophile/OpenMQTTGateway
JoshuaWise/better-sqlite3
ARM-software/ComputeLibrary
OpenKinect/libfreenect2
f1xpl/openauto
Tencent/Hardcoder
vaibhavpandeyvpz/apkstudio
cool2528/baiduCDP
Aloshi/EmulationStation
eigenteam/eigen-git-mirror
anonymous5l/ncmdump
mixxxdj/mixxx
cnjinhao/nana
yuanming-hu/taichi_mpm
hteso/iaito
OGRECave/ogre
node-webrtc/node-webrtc
apache/incubator-doris
khizmax/libcds
x64dbg/ScyllaHide
0ad/0ad
wangyu-/tinyfecVPN
KhronosGroup/Vulkan-Hpp
rust-lang/rust-bindgen
cztomczak/phpdesktop
Aircoookie/WLED
kostya/benchmarks
manuelruder/artistic-videos
Blizzard/s2client-api
yinqiwen/ardb
20tab/UnrealEnginePython
vgough/encfs
GameFoundry/bsf
gdbinit/MachOView
acaudwell/Logstalgia
nRF24/RF24
MisterTea/EternalTerminal
balloonwj/flamingo
barry-ran/QtScrcpy
rbock/sqlpp11
vgvassilev/cling
arximboldi/immer
aappleby/smhasher
appleseedhq/appleseed
zeroc-ice/ice
JuncoJet/unlimited-landeng-for-win
simbody/simbody
ndrplz/self-driving-car
csete/gqrx
eteran/edb-debugger
andrewssobral/bgslibrary
ShapeLab/SwarmUI
ispc/ispc
mapbox/tippecanoe
netease-youdao/hex
arturadib/node-qt
jgh-/VideoCore-Inactive
esphome/esphome
facebookincubator/BOLT
alibaba/tair
RobotLocomotion/drake
ideawu/icomet
snap-stanford/snap
JonathanSalwan/Triton
ycm-core/ycmd
adnanaziz/EPIJudge
ethz-asl/kalibr
microsoft/DirectXTK
socketio/socket.io-client-cpp
google/differential-privacy
bombela/backward-cpp
plibither8/2048.cpp
chukong/quick-cocos2d-x
google/nsjail
protobuf-c/protobuf-c
ry/v8worker
mavlink/qgroundcontrol
ceres-solver/ceres-solver
RuntimeCompiledCPlusPlus/RuntimeCompiledCPlusPlus
yogykwan/acm-challenge-workbook
RainerKuemmerle/g2o
tdenniston/bish
dotnet/llilc
JakobEngel/dso
visualboyadvance-m/visualboyadvance-m
unetbootin/unetbootin
root-project/cling
microsoft/DirectXShaderCompiler
uzh-rpg/rpg_svo
MrKepzie/Natron
huxingyi/dust3d
MaartenBaert/ssr
ucbrise/confluo
pbek/QOwnNotes
raspberrypi/tools
Tencent/phxrpc
phpv8/v8js
seetafaceengine/SeetaFace2
liuyubobobo/Play-Leetcode
JACoders/OpenJK
KhronosGroup/glslang
Hawstein/cracking-the-coding-interview
STEllAR-GROUP/hpx
dfranx/SHADERed
nodejs/node-addon-examples
facebookarchive/Flicks
Icinga/icinga2
bwapi/bwapi
discordapp/lilliput
ValveSoftware/vogl
ycjuan/libffm
mtytel/helm
Ardour/ardour
asLody/TurboDex
an-tao/drogon
rime/librime
idealvin/co
rime/weasel
PurpleI2P/i2pd
mfontanini/libtins
microsoft/BlingFire
patr0nus/DeskGap
klee/klee
teeworlds/teeworlds
aras-p/glsl-optimizer
google/ion
shadowsocks/libQtShadowsocks
polygraphene/ALVR
REhints/HexRaysCodeXplorer
rescrv/HyperDex
miguelfreitas/twister-core
notepadqq/notepadqq
harfbuzz/harfbuzz
randombit/botan
sfzhang15/RefineDet
meik97/XSpotify
mcostalba/Stockfish
wwmm/pulseeffects
gongminmin/KlayGE
devsisters/libquic
rathena/rathena
eranif/codelite
naelstrof/maim
NVIDIAGameWorks/PhysX
microsoft/microsoft-pdb
qdore/Mutate
mgbellemare/Arcade-Learning-Environment
DmitryUlyanov/Multicore-TSNE
cinience/RedisStudio
rttrorg/rttr
mariusmuja/flann
microsoft/Pyjion
canonical/multipass
rexdex/recompiler
TorchCraft/TorchCraft
ccMSC/ckb
xournalpp/xournalpp
oreillymedia/Learning-OpenCV-3_examples
adafruit/DHT-sensor-library
Kitware/VTK
vergecurrency/verge
AndreaOrru/LaiNES
WAVM/WAVM
FlagBrew/Checkpoint
baidu/openrasp
toggl-open-source/toggldesktop
hugoam/toy
cnr-isti-vclab/meshlab
happynear/caffe-windows
tunabrain/tungsten
yse/easy_profiler
asb2m10/dexed
crankyoldgit/IRremoteESP8266
BinomialLLC/basis_universal
pond3r/ggpo
ethz-asl/maplab
lucasb-eyer/pydensecrf
microsoft/Win2D
linyacool/WebServer
TangXiaoLv/TelegramGallery
NASA-SW-VnV/ikos
everitoken/evt
hydro-project/fluent
KDAB/hotspot
logcabin/logcabin
OpenNI/OpenNI
scummvm/scummvm
microsoft/wil
wysaid/android-gpuimage-plus
crosire/reshade
Yelp/MOE
AshampooSystems/boden
kylemcdonald/ofxFaceTracker
hszhao/PSPNet
fetlang/fetlang
s9xie/hed
zeusees/HyperLandmark
zhihu/kids
Overv/VulkanTutorial
skarupke/flat_hash_map
dvorka/mindforger
sui77/rc-switch
srendle/libfm
alicevision/AliceVision
MultiMC/MultiMC5
zhangyuanwei/node-images
giuspen/cherrytree
google/breakpad
msracver/Deep-Image-Analogy
ssloy/tinyraycaster
CloudCompare/CloudCompare
solvespace/solvespace
Qv2ray/Qv2ray
jupyter-xeus/xeus-cling
NervanaSystems/ngraph
cryfs/cryfs
CopernicaMarketingSoftware/PHP-CPP
openstf/minicap
tpoechtrager/osxcross
hugoam/two
patrikhuber/eos
google/zetasql
crawl/crawl
libfann/fann
sharkdp/dbg-macro
embree/embree
NVIDIA/nccl
WaykiChain/WaykiChain
google/souper
owncloud/client
google/gemmlowp
QianMo/OpenCV3-Intro-Book-Src
UE4-OceanProject/OceanProject
richardchien/coolq-http-api
snes9xgit/snes9x
cgdb/cgdb
libmx3/mx3
XiaoMi/pegasus
Corvusoft/restbed
digego/extempore
facebookincubator/oomd
ReadyTalk/avian
shamadee/web-dsp
rapidsai/cuml
CppCon/CppCon2018
DDoSolitary/LxRunOffline
Cxbx-Reloaded/Cxbx-Reloaded
YosysHQ/yosys
qt-creator/qt-creator
OpenXRay/xray-16
Tencent/plato
